name,ORF,description,name_meaning
crd1,,,
dgk1,,,
gsh2,,,
img2,,,
los1,,,
mdm38,,,
mip1,,,
pet123,,,
rim1,,,
rpo41,,,
spt23,,,
sum1,,,
