

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190222_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	2/22/2019
Time	2:48:26 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:20:00 (HH:MM:SS), Interval 0:00:05, 961 Reads
    Read	Fluorescence Endpoint
	G2..G10
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G		SPL1	SPL2	SPL3	SPL7	SPL4	SPL5	SPL6	SPL8	SPL10			Well ID
H													Well ID

425,457

Time	T° 425,457	G2	G3	G4	G5	G6	G7	G8	G9	G10
0:00:00	30.0	6283	6691	6871	6203	6678	6692	6111	6617	6584
0:00:05	30.0	6302	6832	6985	6218	6700	6740	6199	6679	6690
0:00:10	30.0	6324	6931	7066	6241	6775	6900	6148	6758	6782
0:00:15	30.0	6296	6929	7195	6255	6895	6944	6189	6844	6818
0:00:20	30.0	6350	7098	7325	6286	6979	7107	6156	6933	6942
0:00:25	30.0	6333	7139	7303	6251	7020	7131	6180	7010	7034
0:00:30	30.0	6347	7248	7486	6265	7138	7234	6165	7097	7107
0:00:35	30.0	6377	7302	7581	6334	7169	7286	6162	7163	7109
0:00:40	30.0	6396	7426	7645	6272	7256	7439	6162	7250	7275
0:00:45	30.0	6336	7466	7740	6276	7365	7544	6204	7331	7293
0:00:50	30.0	6391	7547	7822	6209	7351	7584	6201	7396	7378
0:00:55	30.0	6379	7654	7854	6238	7513	7716	6263	7434	7413
0:01:00	30.0	6408	7703	8019	6304	7552	7755	6248	7589	7441
0:01:05	30.0	6368	7818	8077	6309	7608	7820	6216	7648	7561
0:01:10	30.0	6381	7843	8221	6288	7718	8014	6176	7693	7651
0:01:15	30.0	6363	7938	8301	6290	7780	8017	6204	7782	7738
0:01:20	30.0	6367	8087	8347	6304	7861	8133	6197	7845	7860
0:01:25	30.0	6443	8158	8464	6306	7851	8248	6151	7991	7938
0:01:30	30.0	6387	8204	8560	6301	7984	8331	6243	7982	7951
0:01:35	30.0	6416	8322	8700	6281	8091	8499	6141	8168	8102
0:01:40	30.0	6365	8332	8802	6291	8221	8540	6256	8223	8132
0:01:45	30.0	6430	8477	8937	6322	8204	8575	6208	8264	8250
0:01:50	30.0	6457	8551	8996	6345	8268	8673	6240	8424	8316
0:01:55	29.9	6390	8697	9136	6251	8374	8743	6215	8531	8409
0:02:00	30.0	6356	8672	9174	6363	8473	8859	6229	8481	8504
0:02:05	30.0	6378	8802	9278	6355	8596	9003	6217	8660	8575
0:02:10	30.0	6362	8871	9360	6293	8736	9031	6208	8723	8743
0:02:15	30.0	6382	8945	9426	6296	8699	9097	6228	8776	8792
0:02:20	30.0	6421	9079	9547	6314	8790	9328	6206	8906	8759
0:02:25	30.0	6392	9145	9657	6288	8871	9314	6294	9027	8954
0:02:30	30.0	6410	9201	9741	6338	8948	9437	6212	9019	9065
0:02:35	30.0	6363	9334	9804	6307	9010	9662	6178	9109	9054
0:02:40	30.0	6448	9422	9955	6330	9158	9679	6203	9198	9132
0:02:45	30.0	6402	9455	10063	6351	9239	9704	6188	9308	9275
0:02:50	30.0	6399	9517	10102	6320	9351	9880	6200	9443	9380
0:02:55	30.0	6434	9588	10222	6316	9386	9909	6183	9490	9485
0:03:00	30.0	6338	9772	10383	6321	9420	10056	6259	9493	9505
0:03:05	30.0	6429	9836	10447	6327	9541	10135	6275	9618	9551
0:03:10	30.0	6436	9909	10500	6347	9640	10275	6218	9728	9711
0:03:15	30.0	6378	10085	10582	6345	9794	10355	6214	9860	9757
0:03:20	30.0	6430	10077	10803	6343	9783	10343	6202	9828	9896
0:03:25	30.0	6471	10158	10923	6373	9934	10492	6241	9989	9929
0:03:30	30.0	6442	10249	10835	6329	10029	10683	6244	10005	10078
0:03:35	30.0	6428	10374	11031	6330	10029	10618	6198	10316	9986
0:03:40	30.0	6441	10425	11132	6380	10063	10887	6233	10240	10142
0:03:45	30.0	6421	10414	11345	6361	10207	10974	6254	10350	10265
0:03:50	30.0	6424	10577	11465	6325	10327	10959	6261	10473	10302
0:03:55	30.0	6499	10795	11483	6387	10507	11183	6288	10459	10352
0:04:00	30.0	6481	10734	11516	6331	10438	11212	6256	10629	10597
0:04:05	30.0	6410	10902	11782	6366	10566	11316	6199	10688	10509
0:04:10	30.0	6462	10927	11825	6391	10600	11369	6242	10692	10672
0:04:15	30.0	6426	11039	11908	6387	10675	11498	6228	10870	10823
0:04:20	30.0	6435	11080	11919	6380	10808	11637	6224	10877	10837
0:04:25	30.0	6405	11229	12028	6360	10902	11678	6259	11155	10999
0:04:30	30.0	6447	11282	12114	6432	10926	11847	6280	11133	11123
0:04:35	30.0	6439	11426	12226	6375	10995	11936	6216	11228	11110
0:04:40	30.0	6415	11447	12235	6347	11154	11899	6269	11257	11115
0:04:45	30.0	6503	11494	12479	6337	11135	12107	6250	11413	11255
0:04:50	29.9	6425	11606	12579	6389	11320	12185	6290	11510	11373
0:04:55	30.0	6431	11721	12675	6418	11373	12145	6259	11528	11445
0:05:00	30.0	6503	11693	12760	6403	11438	12421	6250	11664	11542
0:05:05	30.0	6431	11885	12690	6378	11556	12479	6292	11725	11688
0:05:10	30.0	6480	11888	12982	6368	11662	12419	6279	11771	11682
0:05:15	30.0	6460	12046	13106	6322	11685	12555	6226	11936	11820
0:05:20	30.0	6401	12098	13195	6403	11801	12575	6269	12003	11763
0:05:25	30.0	6471	12347	13393	6400	11909	12738	6236	12103	11999
0:05:30	30.0	6464	12339	13416	6362	11839	12919	6271	12184	12055
0:05:35	30.0	6505	12383	13501	6422	12080	13126	6261	12222	12172
0:05:40	30.0	6456	12480	13570	6439	12084	13145	6260	12244	12173
0:05:45	30.0	6485	12592	13729	6361	12232	13167	6303	12311	12323
0:05:50	30.0	6461	12666	13610	6371	12221	13392	6279	12361	12538
0:05:55	30.0	6493	12823	13800	6372	12348	13154	6282	12466	12445
0:06:00	30.0	6462	12922	13985	6393	12471	13434	6345	12639	12544
0:06:05	30.0	6424	12833	13990	6375	12485	13572	6288	12735	12685
0:06:10	30.1	6485	12961	14182	6397	12578	13570	6327	12768	12666
0:06:15	30.0	6482	13108	14201	6440	12692	13608	6295	12804	12726
0:06:20	30.0	6519	13139	14459	6379	12744	13732	6276	12952	12865
0:06:25	30.0	6494	13296	14528	6438	12771	13828	6268	13168	12983
0:06:30	30.0	6482	13370	14611	6440	12947	14121	6255	13087	13185
0:06:35	30.0	6469	13433	14611	6370	13008	14179	6239	13324	13159
0:06:40	30.0	6521	13607	14854	6423	13116	14247	6262	13279	13278
0:06:45	30.0	6503	13678	14869	6414	13185	14217	6257	13386	13281
0:06:50	30.0	6507	13689	14846	6436	13244	14542	6292	13519	13401
0:06:55	30.0	6453	13714	15019	6467	13342	14612	6299	13517	13433
0:07:00	30.0	6466	13904	15068	6414	13305	14596	6282	13774	13660
0:07:05	30.0	6553	13937	15230	6354	13395	14677	6307	13608	13621
0:07:10	30.0	6488	14048	15212	6404	13556	14808	6331	13836	13641
0:07:15	30.0	6444	14031	15320	6389	13592	14780	6257	13892	13870
0:07:20	30.0	6484	14273	15325	6386	13723	14945	6303	13970	13809
0:07:25	30.0	6501	14258	15661	6386	13706	15063	6306	14019	13919
0:07:30	30.0	6500	14424	15733	6422	13956	15107	6310	14157	14017
0:07:35	30.0	6533	14380	15889	6355	13903	15264	6372	14201	14102
0:07:40	30.0	6536	14511	15916	6393	13983	15389	6270	14325	14326
0:07:45	30.0	6503	14622	15936	6390	14215	15465	6293	14284	14270
0:07:50	30.0	6557	14783	15906	6429	14175	15316	6288	14424	14277
0:07:55	30.1	6617	14789	16074	6430	14184	15480	6306	14521	14382
0:08:00	30.1	6539	14810	16222	6397	14272	15537	6343	14596	14613
0:08:05	30.0	6545	15060	16262	6407	14496	15762	6367	14625	14558
0:08:10	30.0	6522	14958	16399	6411	14442	15730	6285	14725	14641
0:08:15	30.0	6547	15223	16566	6364	14622	15751	6276	14790	14840
