

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190516_GAP_assay.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay_50uM_sensor.prt



Plate Number	Plate 1
Date	5/16/2019
Time	2:38:27 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:23:00 (HH:MM:SS), Interval 0:00:05, 997 Reads
    Read	Fluorescence Endpoint
	A5..A8
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 55
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A					SPL1	SPL2	SPL3	SPL4					Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A5	A6	A7	A8
0:00:00	30.0	11768	12386	6599	6984
0:00:05	30.0	11913	12523	6625	7023
0:00:10	30.0	11895	12696	6607	7115
0:00:15	30.0	11911	13038	6639	7133
0:00:20	30.0	11855	13213	6719	7183
0:00:25	30.0	11944	13484	6694	7228
0:00:30	30.0	11993	13591	6705	7334
0:00:35	30.0	12023	13841	6699	7343
0:00:40	30.0	11984	14081	6716	7453
0:00:45	30.0	11961	14302	6763	7570
0:00:50	30.0	11987	14553	6747	7619
0:00:55	30.0	12019	14776	6681	7688
0:01:00	30.0	12077	14880	6692	7670
0:01:05	30.0	11990	15141	6731	7777
0:01:10	30.0	11995	15326	6688	7822
0:01:15	30.0	12086	15541	6726	7866
0:01:20	30.0	12015	15694	6692	7934
0:01:25	30.0	12128	15926	6739	8032
0:01:30	30.0	12088	16161	6737	8020
0:01:35	30.0	12162	16387	6721	8145
0:01:40	30.0	12077	16633	6722	8114
0:01:45	30.0	12172	16835	6737	8213
0:01:50	30.1	12200	17054	6699	8330
0:01:55	30.0	12192	17276	6740	8357
0:02:00	30.0	12205	17612	6710	8424
0:02:05	30.0	12188	17663	6720	8506
0:02:10	30.0	12185	17888	6707	8525
0:02:15	30.0	12166	18094	6789	8604
0:02:20	30.0	12141	18468	6749	8641
0:02:25	30.0	12169	18517	6745	8770
0:02:30	30.1	12281	18751	6721	8759
0:02:35	30.0	12216	18914	6746	8869
0:02:40	30.0	12188	19183	6717	8912
0:02:45	30.0	12307	19478	6686	8964
0:02:50	30.0	12227	19655	6733	9048
0:02:55	30.0	12261	19880	6729	9131
0:03:00	30.0	12254	20117	6785	9191
0:03:05	30.0	12326	20337	6705	9171
0:03:10	30.0	12254	20491	6825	9338
0:03:15	30.0	12232	20730	6733	9392
0:03:20	30.0	12312	21058	6738	9373
0:03:25	30.0	12352	21207	6733	9529
0:03:30	30.0	12331	21429	6752	9546
0:03:35	30.0	12325	21742	6789	9697
0:03:40	30.0	12363	21880	6725	9632
0:03:45	30.0	12381	22099	6753	9800
0:03:50	30.0	12374	22293	6713	9792
0:03:55	30.0	12273	22612	6764	9860
0:04:00	30.0	12420	22800	6793	10023
0:04:05	30.0	12374	22907	6785	10014
0:04:10	30.0	12406	23183	6762	10006
0:04:15	30.0	12399	23455	6741	10154
0:04:20	30.0	12350	23501	6815	10187
0:04:25	30.0	12448	23825	6727	10332
0:04:30	30.0	12412	24090	6810	10382
0:04:35	30.0	12408	24288	6802	10361
0:04:40	30.0	12441	24654	6757	10436
0:04:45	30.0	12482	24664	6814	10582
0:04:50	30.0	12494	24869	6788	10563
0:04:55	30.0	12485	25189	6789	10591
0:05:00	30.0	12456	25322	6826	10698
0:05:05	30.0	12535	25587	6827	10765
0:05:10	30.0	12496	25911	6796	10740
0:05:15	30.0	12454	26094	6758	10943
0:05:20	30.0	12511	26308	6811	10872
0:05:25	30.0	12501	26742	6766	11063
0:05:30	30.0	12540	26523	6816	11091
0:05:35	30.0	12559	26838	6782	11177
0:05:40	30.0	12482	27310	6777	11279
0:05:45	30.0	12538	27158	6764	11269
0:05:50	30.0	12553	27683	6768	11400
0:05:55	30.0	12609	27855	6826	11433
0:06:00	30.0	12569	27855	6789	11465
0:06:05	30.0	12603	27997	6754	11520
0:06:10	30.0	12624	28354	6760	11591
0:06:15	30.0	12635	28585	6771	11650
0:06:20	30.0	12590	28915	6832	11712
0:06:25	30.0	12661	29030	6777	11888
0:06:30	30.0	12703	29157	6797	11800
0:06:35	29.9	12655	29462	6785	11892
0:06:40	30.0	12676	29660	6798	11955
0:06:45	30.0	12678	29915	6760	12046
0:06:50	30.0	12708	29982	6804	12106
0:06:55	30.0	12678	30189	6758	12132
0:07:00	30.0	12738	30565	6792	12174
0:07:05	30.0	12708	30797	6813	12301
0:07:10	30.0	12811	30869	6826	12353
0:07:15	30.0	12683	30935	6779	12430
0:07:20	30.0	12591	31399	6789	12394
0:07:25	30.0	12770	31504	6787	12495
0:07:30	30.0	12689	31760	6796	12602
0:07:35	30.1	12841	32158	6781	12654
0:07:40	30.0	12821	32350	6792	12728
0:07:45	30.0	12811	32535	6806	12886
0:07:50	30.0	12777	32938	6806	12837
0:07:55	30.0	12830	32818	6816	12890
0:08:00	30.0	12809	33158	6812	12971
0:08:05	30.0	12904	33251	6757	13036
0:08:10	30.0	12885	33283	6795	13027
0:08:15	30.0	12888	33465	6787	13207
0:08:20	30.0	12779	33884	6745	13216
0:08:25	30.0	12900	34029	6832	13327
0:08:30	30.0	12862	34391	6780	13333
0:08:35	30.0	12903	34607	6779	13394
