Prey_gene_name	IQR
Rpl8b	0.8688741294617879
Rsc6	0.86537009483296
Mog1	0.8558666509329
Rsc9	0.844488638508591
Rsc3	0.8422312632350649
Gcd1	0.8341534228925802
Rfc2	0.8304014305687499
Swi3	0.8295292269372301
Ies5	0.8180849672120689
Ioc2	0.81551585779801
Imh1	0.807392463412223
Oye2	0.8049730523763441
Ies1	0.8002409094640301
Nhp10	0.7926617521600201
Arp9	0.787314163562038
Spt16	0.7661173750443802
Sfh1	0.7610827057561251
Htb2	0.761034807039886
Enp2	0.760794151252143
Taf10	0.7595642956805846
Bur6	0.7558664962135689
Isw2	0.753425142871748
Rsc2	0.7480393997100001
Taf5	0.744044778712355
Ies3	0.73650481857449
Rpb11	0.735198199302476
Arp8	0.72777205873283
Rtt102	0.725573424064715
Cdc1	0.7230628546037093
Pob3	0.6914482608406798
Htz1	0.683053278716104
Spt15	0.680908698689026
Rsc58	0.674953164292585
Hir1	0.6390866793342598
Rfc3	0.6165961598422521
Hos3	0.6127750623866111
Mot1	0.61049082807036
Rsc8	0.6070058928526441
Arp4	0.6030895788926001
Pre2	0.6012984136538815
Ies2	0.5993985998470501
Arp7	0.54787793986747
Rpc10	0.544084603125455
Ant1	0.5438152428504692
Abf1	0.543502913747544
Thi7	0.52250647665616
Lsm6	0.5135446726440239
Rfc5	0.4914186750754359
Hir3	0.48615369827572974
Srp14	0.48106360679408
Rco1	0.45206643736803204
Rfc4	0.42949693575034
Aim14	0.374682757975712
Sis1	0.32810380878300005
Aah1	NA
Aim41	NA
Arl3	NA
Cfd1	NA
Gcn3	NA
Lrs4	NA
Opi1	NA
Rad5	NA
Rpl21b	NA
Rrp8	NA
Rrs1	NA
Sen1	NA
Slx9	NA
Smc2	NA
Snf12	NA
Snf5	NA
Spp41	NA
Stb4	NA
Sti1	NA
Sub1	NA
Tif4632	NA
