

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:20:00 (HH:MM:SS), Interval 0:00:04, 301 Reads
    Read	Fluorescence Endpoint
	E7..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E							SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E7	E8	E9	E10	E11	E12
0:00:00	30.0	2685	2583	3204	4106	4054	5408
0:00:04	30.0	2635	2518	3271	4028	4150	5334
0:00:08	30.0	2570	2566	3296	4072	4075	5438
0:00:12	30.0	2520	2515	3206	3947	4043	5458
0:00:16	30.0	2522	2455	3174	3920	3992	5406
0:00:20	30.0	2530	2488	3121	3954	4019	5444
0:00:24	30.0	2492	2452	3057	3859	4119	5382
0:00:28	30.0	2501	2401	3080	3933	3991	5327
0:00:32	30.0	2496	2433	3078	3860	3966	5436
0:00:36	30.0	2425	2381	3106	3818	4055	5398
0:00:40	30.0	2377	2320	2988	3863	4064	5367
0:00:44	30.0	2454	2274	2993	3798	4006	5434
0:00:48	30.0	2370	2309	2956	3783	3956	5338
0:00:52	30.0	2323	2215	2975	3746	3974	5379
0:00:56	30.0	2325	2245	2930	3712	3955	5317
0:01:00	30.0	2290	2209	2898	3692	3950	5318
0:01:04	30.0	2330	2157	2924	3672	3951	5328
0:01:08	30.0	2238	2211	2863	3627	3893	5284
0:01:12	30.0	2241	2184	2900	3568	3970	5286
0:01:16	30.0	2197	2196	2849	3556	3947	5321
0:01:20	30.0	2187	2121	2823	3557	3920	5298
0:01:24	30.0	2184	2145	2786	3521	3990	5280
0:01:28	30.0	2176	2109	2775	3588	3898	5276
0:01:32	30.0	2183	2062	2710	3528	3938	5208
0:01:36	30.0	2166	2102	2707	3541	3902	5182
0:01:40	30.0	2103	2092	2746	3407	3865	5206
0:01:44	30.0	2114	2014	2702	3406	3902	5196
0:01:48	30.0	2087	2059	2693	3412	3828	5211
0:01:52	30.0	2131	2038	2719	3473	3864	5147
0:01:56	30.0	2111	2016	2684	3436	3780	5136
0:02:00	30.0	2084	2053	2668	3379	3792	5197
0:02:04	30.0	2049	1964	2635	3401	3750	5085
0:02:08	30.0	2066	2031	2580	3339	3793	5077
0:02:12	30.0	2031	1945	2670	3357	3715	5157
0:02:16	30.0	2064	1976	2575	3314	3788	5094
0:02:20	30.0	2023	1961	2527	3277	3772	5134
0:02:24	30.0	1978	2004	2633	3336	3791	5111
0:02:28	30.0	2011	1911	2544	3198	3735	5075
0:02:32	30.0	1999	1909	2505	3310	3746	5137
0:02:36	30.0	1958	1915	2511	3234	3726	5016
0:02:40	30.0	1943	1919	2487	3235	3732	5022
0:02:44	30.0	2022	1916	2558	3199	3715	5096
0:02:48	30.0	1975	1913	2488	3173	3707	5011
0:02:52	30.0	1937	1910	2516	3163	3671	5051
0:02:56	30.0	1923	1873	2511	3200	3641	5066
0:03:00	30.0	1893	1866	2434	3233	3662	4975
0:03:04	30.0	1885	1897	2460	3180	3650	5056
0:03:08	30.0	1879	1904	2415	3161	3663	5009
0:03:12	30.0	1896	1862	2422	3168	3637	4950
0:03:16	30.0	1903	1859	2376	3122	3558	4979
0:03:20	30.0	1903	1854	2430	3127	3653	5044
0:03:24	30.0	1934	1848	2405	3172	3621	4895
0:03:28	30.0	1894	1851	2391	3078	3679	4978
0:03:32	30.0	1863	1888	2430	3088	3593	4962
0:03:36	30.0	1889	1797	2418	3073	3584	4977
