

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:56:00 (HH:MM:SS), Interval 0:00:07, 995 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	7013	23989	28162	32520	36552	41610	19286	27140	29198	32652	35269	40968
0:00:07	30.0	7172	24453	27931	32634	36765	41581	19246	26860	29408	32317	35044	40933
0:00:14	30.0	7083	24228	28002	32906	37095	41947	19191	26796	29215	32505	35069	40803
0:00:21	30.0	7064	24181	28267	32981	36778	41873	18948	26639	29056	32275	34855	40560
0:00:28	30.0	7026	24248	28007	32750	36931	41952	18751	26655	28814	32045	34793	40712
0:00:35	30.0	7047	23997	28165	32765	36871	41724	18804	26155	28503	31671	34472	40455
0:00:42	30.0	7026	23828	28161	32809	36926	42137	18721	25911	28437	31327	34716	40357
0:00:49	30.0	6879	24215	27947	32473	36497	41361	18359	25709	28409	31279	34357	40228
0:00:56	30.0	6907	24002	27991	32735	36499	41797	18136	25491	27770	31403	34314	40066
0:01:03	30.0	6889	24069	27879	32199	36264	41220	18155	25316	28073	31440	34153	39949
0:01:10	30.0	6792	24028	27781	32712	36278	41359	17900	25315	27985	31252	33782	39548
0:01:17	30.0	6805	23535	28080	32264	36070	41447	17804	25060	27508	31178	33723	39722
0:01:24	30.0	6619	23607	27650	32400	36173	41320	17704	24910	27524	30770	33665	39489
0:01:31	30.0	6662	23899	27559	32037	35799	41275	17652	24584	27172	30796	33491	39226
0:01:38	30.0	6688	23427	27535	32047	36050	40796	17438	24533	27305	30534	33667	39260
0:01:45	30.0	6604	23593	27490	32105	35731	40654	17360	24371	27171	30192	33517	39032
