

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20180828_GEF_FRET_assay3.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GEF_FRET_assay.prt



Plate Number	Plate 1
Date	8/28/2018
Time	2:05:39 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:23:10 (HH:MM:SS), Interval 0:00:05, 999 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	1437	4208	5867		8930	12993	1319	4776	5814	8824	10108	12045
0:00:05	30.0	1479	4258	5838		8676	13048	1290	4651	5851	8798	10171	12111
0:00:10	30.0	1494	4232	5848		8477	12903	1295	4671	5845	8818	10117	11981
0:00:15	30.0	1459	4243	5838	8962	8593	13068	1325	4581	5788	8824	10032	12162
0:00:20	30.0	1474	4303	5850	9082	8431	12919	1276	4514	5769	8755	10169	12218
0:00:25	30.0	1494	4216	5917	8865	8321	12993	1246	4561	5773	8856	10164	12102
0:00:30	30.0	1483	4344	5929	8930	8375	12909	1217	4531	5667	8784	10008	12065
0:00:35	30.0	1478	4290	5910	8910	8386	13023	1190	4457	5705	8674	10108	12015
0:00:40	30.0	1463	4316	5809	8830	8286	13043	1211	4410	5622	8560	10071	12068
0:00:45	30.0	1449	4174	5901	8889	8376	12782	1167	4393	5670	8823	10064	12024
0:00:50	30.0	1454	4246	5812	8815	8362	12825	1208	4400	5526	8620	10070	12088
0:00:55	30.0	1461	4265	5853	8702	8280	13007	1139	4309	5582	8536	10061	12068
0:01:00	30.0	1461	4199	5911	8899	8362	12894	1140	4317	5623	8531	9887	11940
