

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:20:00 (HH:MM:SS), Interval 0:00:05, 961 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 67
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL28	SPL29	SPL30	SPL31	SPL32	SPL33	SPL34	SPL35	SPL36	SPL37	SPL38	SPL39	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	76	246	561	810	1340	2414	3507	4111	6774	8260	10881	14575
0:00:05	30.0	83	262	553	805	1357	2441	3518	4103	6785	8224	11001	14547
0:00:10	30.0	123	238	552	806	1363	2403	3463	4164	6877	8283	10985	14399
0:00:15	30.0	109	239	491	790	1333	2435	3481	4126	6825	8226	10898	14571
0:00:20	30.0	112	226	487	784	1334	2413	3478	4116	6840	8245	11038	14655
0:00:25	30.0	118	222	461	785	1323	2431	3511	4102	6842	8291	10951	14606
0:00:30	30.0	113	226	493	772	1320	2429	3510	4123	6800	8269	10874	14561
0:00:35	30.0	102	212	477	760	1313	2374	3508	4086	6803	8227	10888	14594
0:00:40	30.0	108	227	465	769	1326	2377	3490	4056	6836	8280	10865	14484
0:00:45	30.0	99	220	464	761	1285	2389	3455	4068	6765	8290	10880	14526
0:00:50	30.0	100	212	462	754	1296	2363	3458	4095	6884	8117	10810	14552
0:00:55	30.0	99	204	444	741	1293	2372	3468	4054	6753	8169	10936	14548
0:01:00	30.0	104	208	452	720	1283	2344	3408	4015	6739	8157	10853	14493
0:01:05	30.0	97	207	432	743	1254	2351	3396	4045	6808	8081	10953	14523
0:01:10	30.0	97	212	440	704	1262	2364	3392	4016	6765	8184	10818	14536
0:01:15	30.0	86	197	427	702	1238	2333	3408	3991	6722	8113	10876	14436
0:01:20	30.0	97	201	424	702	1236	2303	3367	4009	6766	8074	10881	14416
0:01:25	30.0	105	191	417	697	1235	2313	3331	3999	6704	8110	10812	14302
