

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:45:00 (HH:MM:SS), Interval 0:00:05, 541 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 59
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	105	326	522	734	1052	1222	1490	1786	2094	2462	2848	3368
0:00:05	30.0	96	315	526	732	1050	1227	1487	1795	2104	2463	2806	3324
0:00:10	30.0	106	300	538	710	1040	1213	1520	1789	2066	2466	2812	3358
0:00:15	30.0	102	291	517	718	1035	1212	1510	1802	2059	2478	2784	3356
0:00:20	30.0	97	294	519	715	1036	1220	1502	1770	2042	2445	2776	3345
0:00:25	30.1	97	288	523	711	1042	1208	1495	1772	2064	2444	2796	3352
0:00:30	30.1	105	292	507	718	1025	1225	1477	1787	2063	2404	2825	3342
0:00:35	30.0	103	293	512	701	1025	1199	1476	1775	2068	2412	2795	3312
0:00:40	30.0	104	291	507	688	1025	1203	1468	1755	2074	2388	2767	3324
0:00:45	30.0	93	284	513	689	998	1179	1460	1758	2065	2359	2760	3346
0:00:50	30.0	92	293	513	713	1002	1176	1455	1744	2048	2410	2731	3311
0:00:55	30.0	94	288	495	692	1009	1180	1457	1740	2021	2364	2706	3322
0:01:00	30.0	93	283	502	695	1015	1178	1449	1761	2038	2361	2704	3314
0:01:05	30.0	95	287	488	678	989	1164	1455	1727	2045	2376	2715	3353
0:01:10	30.0	96	283	499	685	996	1170	1448	1743	1990	2364	2688	3318
0:01:15	30.0	93	273	497	677	1004	1148	1445	1715	2010	2350	2684	3297
0:01:20	30.0	91	267	494	664	992	1149	1432	1717	2010	2351	2658	3326
0:01:25	30.0	95	271	496	672	968	1155	1416	1711	1989	2345	2687	3296
