

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:35:00 (HH:MM:SS), Interval 0:00:06, 951 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	SPL13	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	3085	6119	6801	8166	9354	10400	12747	14526	17732	19549	21392	25082
0:00:06	30.0	3111	6182	6917	8087	9327	10684	12650	14670	17798	19519	21537	25189
0:00:12	30.0	3085	6038	7013	8134	9425	10920	12570	15035	17860	19488	21852	25344
0:00:18	30.0	3145	6095	6966	8185	9378	10770	12594	14948	17708	19472	21745	25162
0:00:24	30.0	3125	6022	6909	8223	9392	10783	12661	14960	17649	19315	21910	25056
0:00:30	30.0	3131	5952	6967	8141	9407	10703	12611	14987	17690	19513	21748	25352
0:00:36	30.0	3026	5888	6907	8151	9317	10520	12656	14936	17629	19344	21750	25429
0:00:42	30.0	3074	5839	6915	8043	9340	10398	12359	14905	17392	19287	21638	25247
0:00:48	30.0	2999	5756	6889	8030	9330	10580	12343	14584	17445	19241	21718	25318
0:00:54	30.0	3035	5718	6908	8066	9440	10481	12423	14544	17513	18979	21652	25425
0:01:00	30.0	3015	5804	6891	8192	9253	10378	12359	14558	17327	19207	21514	25178
0:01:06	30.0	3031	5662	6872	8180	9142	10521	12332	14441	17379	19260	21505	25189
0:01:12	30.0	3091	5848	6817	8041	9172	10469	12088	14350	17246	19083	21598	25189
0:01:18	30.0	2989	5746	6793	8105	9168	10510	12054	14355	17262	19023	21315	25012
0:01:24	30.0	2984	5773	6814	8024	9090	10393	12069	14328	17122	18929	21545	24964
0:01:30	30.0	2989	5711	6753	8016	9019	10315	12090	14390	17181	18887	21687	25149
