

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:08:00 (HH:MM:SS), Interval 0:00:02, 241 Reads
    Read	Fluorescence Endpoint
	A7
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A							SPL1						Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	A7
0:00:00	30.1	2442
0:00:02	30.1	2437
0:00:04	30.1	2352
0:00:06	30.1	2315
0:00:08	30.1	2287
0:00:10	30.1	2278
0:00:12	30.1	2265
0:00:14	30.1	2202
0:00:16	30.1	2226
0:00:18	30.1	2202
0:00:20	30.1	2167
0:00:22	30.1	2151
0:00:24	30.1	2184
0:00:26	30.1	2201
0:00:28	30.1	2169
0:00:30	30.1	2199
0:00:32	30.1	2153
0:00:34	30.1	2107
0:00:36	30.1	2165
0:00:38	30.1	2153
0:00:40	30.1	2066
0:00:42	30.1	2089
0:00:44	30.1	2110
0:00:46	30.1	2094
0:00:48	30.1	2025
0:00:50	30.1	2047
0:00:52	30.1	2042
0:00:54	30.1	2039
0:00:56	30.1	2048
0:00:58	30.1	1973
0:01:00	30.1	2009
0:01:02	30.1	2004
0:01:04	30.1	2016
0:01:06	30.1	1950
0:01:08	30.1	1945
0:01:10	30.1	1941
0:01:12	30.1	1976
0:01:14	30.1	1918
0:01:16	30.1	1924
0:01:18	30.1	1960
0:01:20	30.1	1963
0:01:22	30.1	1916
0:01:24	30.1	1884
0:01:26	30.1	1914
0:01:28	30.1	1869
0:01:30	30.1	1865
0:01:32	30.1	1871
0:01:34	30.1	1870
0:01:36	30.1	1862
0:01:38	30.1	1835
0:01:40	30.1	1860
0:01:42	30.1	1835
0:01:44	30.1	1851
0:01:46	30.1	1837
0:01:48	30.1	1814
0:01:50	30.1	1847
0:01:52	30.1	1811
0:01:54	30.1	1799
0:01:56	30.1	1748
0:01:58	30.1	1786
0:02:00	30.1	1792
0:02:02	30.1	1794
0:02:04	30.1	1814
0:02:06	30.1	1828
0:02:08	30.1	1808
0:02:10	30.1	1764
0:02:12	30.1	1802
0:02:14	30.1	1783
0:02:16	30.1	1732
0:02:18	30.1	1729
0:02:20	30.1	1761
0:02:22	30.1	1733
0:02:24	30.1	1767
0:02:26	30.1	1738
0:02:28	30.1	1733
0:02:30	30.1	1719
0:02:32	30.1	1716
0:02:34	30.1	1747
0:02:36	30.1	1730
0:02:38	30.1	1756
0:02:40	30.1	1710
0:02:42	30.1	1714
0:02:44	30.1	1712
0:02:46	30.1	1732
0:02:48	30.1	1658
0:02:50	30.1	1703
0:02:52	30.1	1699
0:02:54	30.1	1703
0:02:56	30.1	1683
0:02:58	30.1	1693
0:03:00	30.1	1708
0:03:02	30.1	1667
0:03:04	30.1	1680
0:03:06	30.1	1663
0:03:08	30.1	1668
0:03:10	30.1	1669
0:03:12	30.1	1675
0:03:14	30.0	1666
0:03:16	30.0	1617
0:03:18	30.1	1627
0:03:20	30.1	1630
0:03:22	30.1	1657
0:03:24	30.1	1641
0:03:26	30.0	1668
0:03:28	30.0	1655
0:03:30	30.1	1630
0:03:32	30.1	1658
0:03:34	30.1	1626
0:03:36	30.1	1655
0:03:38	30.1	1655
0:03:40	30.1	1602
0:03:42	30.1	1616
0:03:44	30.1	1637
0:03:46	30.1	1626
0:03:48	30.1	1643
0:03:50	30.1	1653
0:03:52	30.1	1642
0:03:54	30.1	1628
0:03:56	30.1	1641
0:03:58	30.1	1644
0:04:00	30.1	1614
0:04:02	30.0	1626
0:04:04	30.1	1594
0:04:06	30.1	1590
0:04:08	30.1	1621
