

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20180828_GEF_FRET_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GEF_FRET_assay.prt



Plate Number	Plate 1
Date	8/28/2018
Time	12:38:29 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 1:20:00 (HH:MM:SS), Interval 0:00:05, 961 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	591	1837	2766		6352	9575	1624	2225	2998	4800	6728	9741
0:00:05	30.0	597	1863	2807	4365	6299	9517	1585	2221	3079	4854	6798	9893
0:00:10	30.0	611	1847	2882	4378	6445	9600	1592	2207	3012	4815	6785	9669
0:00:15	30.0	595	1812	2820	4398	6345	9600	1566	2145	3082	4803	6825	9751
0:00:20	30.0	600	1830	2790	4430	6449	9687	1585	2189	3040	4797	6677	9742
0:00:25	30.0	620	1871	2808	4383	6360	9608	1542	2118	2960	4812	6673	9694
0:00:30	30.1	626	1850	2804	4367	6413	9645	1522	2166	3038	4770	6663	9741
0:00:35	30.0	603	1891	2739	4399	6314	9625	1524	2120	2963	4751	6625	9704
0:00:40	30.0	618	1854	2813	4411	6251	9532	1533	2090	2905	4665	6629	9608
0:00:45	30.0	588	1822	2818	4360	6293	9483	1486	2047	2900	4684	6611	9667
0:00:50	30.0	609	1894	2782	4373	6259	9418	1504	2017	2885	4701	6580	9565
0:00:55	30.0	596	1865	2751	4351	6392	9434	1441	2029	2903	4707	6541	9554
0:01:00	30.0	594	1887	2816	4270	6304	9409	1428	2013	2896	4665	6455	9498
