

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:25:00 (HH:MM:SS), Interval 0:00:03, 501 Reads
    Read	Fluorescence Endpoint
	C9..C12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C									SPL1	SPL2	SPL3	SPL4	Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	C9	C10	C11	C12
0:00:00	30.1	3314	4366	4156	5145
0:00:03	30.1	3293	4219	4120	5098
0:00:06	30.1	3228	4316	4122	5119
0:00:09	30.1	3209	4247	4050	5123
0:00:12	30.1	3246	4211	4104	5093
0:00:15	30.1	3280	4147	4004	5005
0:00:18	30.1	3206	4169	4044	5011
0:00:21	30.1	3204	4156	4107	5011
0:00:24	30.1	3188	4145	4016	4922
0:00:27	30.1	3183	4092	3942	4948
0:00:30	30.1	3150	4078	3938	4932
0:00:33	30.1	3121	4103	3885	4804
0:00:36	30.1	3114	4006	3929	4861
0:00:39	30.1	3022	4042	3881	4876
0:00:42	30.1	3081	3972	3893	4799
0:00:45	30.1	3094	3956	3844	4788
0:00:48	30.1	2969	3995	3824	4833
0:00:51	30.1	3016	3921	3889	4686
0:00:54	30.1	3002	3935	3848	4722
0:00:57	30.1	2987	3896	3833	4682
0:01:00	30.1	2912	3844	3820	4646
0:01:03	30.1	2946	3860	3796	4710
0:01:06	30.1	2922	3813	3759	4621
0:01:09	30.1	2919	3802	3765	4597
0:01:12	30.1	2892	3850	3731	4579
0:01:15	30.1	2814	3831	3780	4629
0:01:18	30.1	2871	3795	3656	4508
0:01:21	30.1	2873	3737	3696	4586
0:01:24	30.1	2859	3740	3713	4533
0:01:27	30.1	2832	3689	3734	4493
0:01:30	30.1	2769	3676	3627	4557
0:01:33	30.1	2755	3733	3599	4548
0:01:36	30.1	2750	3604	3606	4501
0:01:39	30.1	2741	3618	3603	4469
0:01:42	30.1	2741	3595	3567	4478
0:01:45	30.1	2682	3627	3579	4528
0:01:48	30.1	2735	3657	3581	4440
0:01:51	30.1	2700	3574	3571	4413
0:01:54	30.1	2650	3562	3474	4408
0:01:57	30.1	2706	3632	3528	4364
0:02:00	30.1	2683	3482	3507	4417
0:02:03	30.1	2654	3467	3484	4412
0:02:06	30.1	2707	3557	3498	4409
0:02:09	30.1	2607	3507	3487	4373
0:02:12	30.1	2654	3506	3385	4331
0:02:15	30.1	2586	3563	3427	4384
0:02:18	30.1	2608	3443	3432	4266
0:02:21	30.1	2580	3468	3405	4290
0:02:24	30.1	2581	3440	3395	4314
0:02:27	30.1	2540	3479	3397	4265
0:02:30	30.1	2598	3406	3374	4303
0:02:33	30.1	2563	3400	3348	4264
0:02:36	30.1	2502	3412	3351	4228
0:02:39	30.1	2508	3340	3326	4288
0:02:42	30.1	2511	3347	3340	4252
0:02:45	30.1	2511	3397	3299	4220
0:02:48	30.1	2506	3305	3325	4192
0:02:51	30.1	2474	3337	3308	4184
