

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:05:00 (HH:MM:SS), Interval 0:00:02, 151 Reads
    Read	Fluorescence Endpoint
	E7
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E							SPL1						Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E7
0:00:00	30.1	1571
0:00:02	30.1	1578
0:00:04	30.1	1526
0:00:06	30.1	1505
0:00:08	30.1	1502
0:00:10	30.0	1465
0:00:12	30.0	1457
0:00:14	30.1	1464
0:00:16	30.1	1435
0:00:18	30.1	1458
0:00:20	30.1	1429
0:00:22	30.1	1404
0:00:24	30.1	1423
0:00:26	30.1	1375
0:00:28	30.1	1370
0:00:30	30.1	1368
0:00:32	30.0	1380
0:00:34	30.0	1374
0:00:36	30.0	1366
0:00:38	30.1	1352
0:00:40	30.1	1336
0:00:42	30.1	1301
0:00:44	30.1	1299
0:00:46	30.1	1335
0:00:48	30.1	1297
0:00:50	30.1	1313
0:00:52	30.1	1255
0:00:54	30.1	1289
0:00:56	30.1	1257
0:00:58	30.1	1266
0:01:00	30.0	1271
0:01:02	30.0	1247
0:01:04	30.1	1260
0:01:06	30.1	1243
0:01:08	30.1	1238
0:01:10	30.1	1235
0:01:12	30.1	1226
0:01:14	30.1	1225
0:01:16	30.1	1228
0:01:18	30.0	1219
0:01:20	30.0	1166
0:01:22	30.1	1211
0:01:24	30.1	1190
0:01:26	30.1	1215
0:01:28	30.1	1159
0:01:30	30.1	1186
0:01:32	30.1	1196
0:01:34	30.1	1167
0:01:36	30.1	1201
0:01:38	30.1	1147
0:01:40	30.1	1188
0:01:42	30.1	1194
0:01:44	30.1	1157
0:01:46	30.1	1192
0:01:48	30.1	1191
0:01:50	30.0	1147
0:01:52	30.0	1185
0:01:54	30.0	1163
0:01:56	30.1	1172
0:01:58	30.1	1156
0:02:00	30.1	1141
0:02:02	30.0	1160
0:02:04	30.0	1130
0:02:06	30.0	1151
0:02:08	30.1	1099
0:02:10	30.1	1131
0:02:12	30.1	1151
0:02:14	30.1	1177
0:02:16	30.1	1132
0:02:18	30.1	1108
0:02:20	30.1	1138
0:02:22	30.1	1127
0:02:24	30.1	1128
0:02:26	30.1	1124
0:02:28	30.1	1099
0:02:30	30.1	1107
0:02:32	30.1	1099
0:02:34	30.1	1106
0:02:36	30.1	1104
0:02:38	30.0	1081
0:02:40	30.1	1102
0:02:42	30.1	1089
0:02:44	30.1	1102
0:02:46	30.1	1104
0:02:48	30.1	1112
0:02:50	30.1	1126
0:02:52	30.0	1093
0:02:54	30.0	1102
0:02:56	30.0	1052
0:02:58	30.1	1110
0:03:00	30.1	1099
0:03:02	30.1	1086
0:03:04	30.1	1119
0:03:06	30.1	1065
0:03:08	30.1	1120
0:03:10	30.1	1110
0:03:12	30.1	1098
0:03:14	30.1	1089
0:03:16	30.1	1071
0:03:18	30.1	1043
0:03:20	30.1	1105
0:03:22	30.1	1091
0:03:24	30.1	1059
0:03:26	30.1	1083
0:03:28	30.1	1122
0:03:30	30.1	1084
0:03:32	30.1	1141
0:03:34	30.1	1069
0:03:36	30.1	1094
0:03:38	30.1	1090
0:03:40	30.0	1085
0:03:42	30.0	1061
0:03:44	30.1	1097
0:03:46	30.1	1117
0:03:48	30.1	1055
0:03:50	30.1	1084
0:03:52	30.1	1072
0:03:54	30.1	1080
0:03:56	30.1	1065
0:03:58	30.1	1056
0:04:00	30.1	1095
0:04:02	30.1	1084
0:04:04	30.1	1040
0:04:06	30.1	1058
0:04:08	30.0	1060
0:04:10	30.0	1059
0:04:12	30.1	1050
0:04:14	30.1	1052
0:04:16	30.1	1061
0:04:18	30.0	1081
0:04:20	30.0	1075
0:04:22	30.0	1067
0:04:24	30.1	1084
0:04:26	30.1	1098
0:04:28	30.1	1038
0:04:30	30.1	1104
0:04:32	30.1	1068
0:04:34	30.1	1047
0:04:36	30.1	1092
0:04:38	30.1	1074
0:04:40	30.1	1037
0:04:42	30.1	1084
0:04:44	30.1	1077
0:04:46	30.1	1059
0:04:48	30.1	1080
0:04:50	30.1	1058
0:04:52	30.1	1080
0:04:54	30.1	1050
0:04:56	30.1	1034
0:04:58	30.1	1068
0:05:00	30.1	1074

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
B													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
C													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
D													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
E							-2160000.000						Max V [295,335]
							1.000						R-Squared [295,335]
							0:03:33						t at Max V [295,335]
							0:03:20						Lagtime [295,335]
F													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
G													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]
H													Max V [295,335]
													R-Squared [295,335]
													t at Max V [295,335]
													Lagtime [295,335]

