

Software Version	3.03.14

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 0:30:00 (HH:MM:SS), Interval 0:00:05, 361 Reads
    Read	Fluorescence Endpoint
	E1..E12
	Filter Set 1
	    Excitation: 295,  Emission: 335
	    Optics: Top,  Gain: 80
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 8 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C													Well ID
D													Well ID
E	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7	SPL8	SPL9	SPL10	SPL11	SPL12	Well ID
F													Well ID
G													Well ID
H													Well ID

295,335

Time	T° 295,335	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12
0:00:00	30.0	1047	2284	4318	5800	8572	10622	13247	15711	19097	21796	23923	31176
0:00:05	30.0	977	2199	4254	5791	8606	10640	13197	15668	18944	21763	24014	31263
0:00:10	30.0	958	2195	4158	5754	8433	10532	13253	15558	19066	21693	24011	31427
0:00:15	30.0	971	2130	4172	5591	8341	10513	13154	15639	18904	21557	23891	30966
0:00:20	30.0	922	2077	3990	5613	8213	10277	13029	15610	18827	21173	23645	30921
0:00:25	30.0	881	2047	3994	5566	8292	10285	12904	15256	18683	21172	23556	30869
0:00:30	30.0	856	2006	3924	5465	7990	10247	12789	15143	18551	21131	23414	31034
0:00:35	30.0	810	1988	3840	5337	7930	10012	12499	15197	18625	20969	23133	30931
0:00:40	30.0	849	1937	3879	5245	7844	10053	12593	15112	18347	20960	23461	30491
0:00:45	30.0	822	1852	3710	5269	7843	9840	12432	15036	18348	20847	23185	30801
0:00:50	30.0	799	1866	3604	5121	7840	9696	12428	14714	18052	20662	23000	30265
0:00:55	30.0	765	1851	3682	5131	7711	9779	12388	14725	18037	20737	22829	30639
0:01:00	30.0	778	1798	3547	5129	7529	9608	12193	14721	17924	20408	22809	30099
0:01:05	30.0	802	1760	3537	5007	7520	9549	12162	14579	17797	20432	22730	30367
0:01:10	30.0	757	1753	3486	4939	7361	9464	11932	14568	17594	20188	22546	30252
0:01:15	30.0	779	1756	3401	4856	7387	9408	11990	14335	17765	20137	22491	30353
0:01:20	30.0	762	1680	3391	4778	7243	9391	11862	14381	17490	20091	22475	29916
