Gene	REP1	YAL002W	YAL011W	YAL013W	YAL015C	YAL019W	YAL024C	YAL027W	YAL040C	YAL042W	YAL043C - YAL043C	YAL051W	YAL055W	YAR002W	YAR003W	YAR007C - YAR007C	YBL002W	YBL003C	YBL007C	YBL008W	YBL016W	YBL019W	YBL036C	YBL046W	YBL052C	YBL058W	YBL067C	YBL086C	YBL088C	YBL093C - YBL093C	YBL093C	YBL103C	YBR009C	YBR010W	YBR030W	YBR034C	YBR048W	YBR049C - YBR049C	YBR057C	YBR073W	YBR082C	YBR083W	YBR087W - YBR087W	YBR088C - YBR088C	YBR088C - YBR088C	YBR088C - YBR088C	YBR088C - YBR088C	YBR089C-A	YBR094W	YBR095C	YBR098W	YBR103W	YBR107C	YBR111W-A	YBR114W	YBR119W	YBR135W - YBR135W	YBR171W	YBR173C	YBR175W	YBR193C - YBR193C	YBR194W	YBR195C	YBR198C - YBR198C	YBR215W	YBR223C	YBR228W	YBR231C	YBR245C	YBR255W	YBR258C	YBR267W	YBR272C	YBR274W	YBR275C	YBR278W	YBR279W	YBR289W	YCL010C	YCL011C	YCL016C	YCL029C	YCL037C	YCL061C	YCR002C	YCR009C	YCR014C	YCR020W-B	YCR028C-A	YCR033W	YCR052W - YCR052W	YCR060W	YCR065W	YCR066W	YCR076C	YCR077C	YCR081W	YCR086W	YCR092C	YDL002C	YDL005C	YDL013W	YDL020C	YDL033C	YDL051W	YDL053C	YDL056W	YDL059C	YDL070W	YDL074C	YDL076C	YDL097C	YDL099W	YDL101C	YDL115C	YDL116W	YDL122W	YDL134C	YDL135C	YDL140C - YDL140C	YDL154W	YDL155W	YDL164C - YDL164C	YDL164C - YDL164C	YDL165W - YDL165W	YDL176W	YDL185W	YDL188C	YDL190C	YDL194W	YDL203C	YDL213C	YDL224C	YDL227C	YDR004W	YDR014W	YDR030C	YDR045C - YDR045C	YDR052C - YDR052C	YDR059C	YDR073W	YDR075W	YDR076W	YDR092W	YDR096W	YDR097C	YDR101C	YDR108W	YDR121W	YDR127W	YDR134C - YDR134C	YDR137W	YDR139C	YDR143C	YDR145W - YDR145W	YDR146C	YDR150W	YDR153C	YDR155C	YDR156W	YDR159W	YDR176W	YDR181C	YDR190C - YDR190C	YDR191W	YDR200C	YDR207C	YDR214W	YDR217C	YDR225W	YDR245W	YDR254W	YDR255C	YDR257C	YDR260C	YDR263C	YDR279W	YDR289C	YDR293C	YDR311W - YDR311W	YDR314C	YDR318W	YDR334W	YDR335W	YDR359C	YDR363W-A	YDR363W	YDR369C	YDR378C	YDR386W	YDR392W	YDR409W	YDR419W	YDR440W	YDR443C	YDR451C	YDR469W	YDR475C	YDR477W	YDR482C	YDR485C	YDR488C	YDR501W	YDR505C	YDR519W	YEL003W	YEL012W	YEL018W	YEL031W	YEL037C	YEL056W	YEL061C	YER007C-A	YER007W	YER016W	YER019W	YER027C	YER030W	YER035W	YER049W	YER068W	YER083C	YER086W	YER088C	YER092W	YER095W	YER098W	YER100W	YER104W	YER111C	YER116C	YER123W	YER125W - YER125W	YER142C	YER144C	YER151C	YER155C	YER161C	YER162C	YER164W	YER167W	YER169W	YER171W - YER171W	YER173W	YER177W	YER178W	YER179W	YFL001W	YFL003C	YFL007W	YFL013C	YFL023W	YFL039C - YFL039C	YFR009W	YFR010W	YFR013W	YFR019W	YFR036W	YFR037C - YFR037C	YFR038W	YFR040W	YGL004C	YGL019W	YGL020C	YGL025C	YGL033W	YGL043W	YGL058W	YGL066W	YGL086W	YGL087C	YGL090W	YGL112C - YGL112C	YGL115W	YGL124C	YGL127C	YGL133W	YGL150C - YGL150C	YGL151W	YGL163C	YGL168W	YGL173C	YGL174W	YGL175C	YGL183C	YGL194C	YGL195W	YGL213C	YGL216W	YGL222C	YGL227W	YGL244W	YGL246C	YGL249W	YGL251C	YGL252C	YGL255W	YGR005C - YGR005C	YGR006W	YGR056W	YGR063C	YGR071C	YGR078C	YGR086C	YGR097W	YGR108W	YGR109C	YGR134W	YGR135W	YGR156W - YGR156W	YGR181W	YGR184C	YGR186W - YGR186W	YGR188C	YGR200C	YGR208W	YGR221C	YGR246C - YGR246C	YGR252W - YGR252W	YGR258C	YGR270W	YGR274C - YGR274C	YGR275W	YHL022C	YHL024W	YHL030W	YHL039W	YHR013C	YHR025W	YHR031C	YHR034C	YHR041C	YHR066W	YHR071W	YHR079C-A	YHR081W	YHR090C - YHR090C	YHR115C	YHR120W	YHR129C	YHR151C	YHR154W	YHR157W	YHR167W	YHR178W	YHR187W	YHR191C	YHR200W	YHR207C	YIL010W	YIL017C	YIL021W - YIL021W	YIL035C	YIL036W	YIL040W	YIL066C	YIL072W	YIL075C	YIL076W	YIL084C	YIL097W	YIL112W	YIL128W	YIL131C	YIL133C	YIL139C	YIL153W	YIL156W	YIR002C	YIR005W	YIR008C - YIR008C	YIR009W	YIR023W	YIR025W	YJL013C	YJL030W	YJL047C	YJL081C - YJL081C	YJL090C - YJL090C	YJL092W	YJL098W	YJL105W	YJL115W	YJL122W	YJL124C	YJL140W	YJL148W	YJL168C	YJL168C - YJL168C	YJL176C - YJL176C	YJL179W - YJL179W	YJL179W	YJL181W	YJL183W	YJL184W	YJL187C	YJL197W	YJR006W - YJR006W	YJR014W	YJR021C	YJR032W	YJR035W	YJR036C	YJR043C	YJR052W	YJR053W	YJR073C	YJR082C	YJR087W	YJR099W	YJR104C	YJR119C	YJR126C	YJR135C	YJR140C	YJR144W	YKL010C	YKL017C	YKL018W - YKL018W	YKL020C	YKL023W	YKL053C-A	YKL069W	YKL101W	YKL112W - YKL112W	YKL113C	YKL114C	YKL117W	YKL119C - YKL119C	YKL144C - YKL144C	YKL149C	YKL160W	YKL212W	YKL213C	YKR010C	YKR028W	YKR029C	YKR048C	YKR054C	YKR062W - YKR062W	YKR072C	YKR077W	YKR082W	YKR092C	YKR098C	YKR101W	YLL002W	YLL039C	YLR005W - YLR005W	YLR015W	YLR024C	YLR032W	YLR033W - YLR033W	YLR035C	YLR039C	YLR044C	YLR052W	YLR055C	YLR056W	YLR079W	YLR082C	YLR085C	YLR087C	YLR095C	YLR102C	YLR135W	YLR180W	YLR182W	YLR190W	YLR200W	YLR210W	YLR216C	YLR218C	YLR233C	YLR234W	YLR247C	YLR262C	YLR262C - YLR262C	YLR263W	YLR265C	YLR268W	YLR278C	YLR288C	YLR306W	YLR320W	YLR329W	YLR337C - YLR337C	YLR350W	YLR357W	YLR373C	YLR376C	YLR381W	YLR384C	YLR385C	YLR394W	YLR398C	YLR403W	YLR418C	YLR421C	YLR449W	YLR453C	YLR455W	YML008C	YML011C	YML021C	YML028W	YML030W	YML032C	YML034W	YML041C	YML060W	YML062C	YML069W - YML069W	YML071C	YML074C	YML091C - YML091C	YML094W	YML095C	YML098W - YML098W	YML102W	YML106W	YML109W	YML111W	YML119W	YML121W	YML124C	YML127W - YML127W	YML128C	YMR001C - YMR001C	YMR003W	YMR005W - YMR005W	YMR015C	YMR021C	YMR022W	YMR036C	YMR038C	YMR039C	YMR044W	YMR048W	YMR055C	YMR060C	YMR075W	YMR078C	YMR100W	YMR106C	YMR112C - YMR112C	YMR127C	YMR133W	YMR135C	YMR137C	YMR138W	YMR144W	YMR156C	YMR167W	YMR173W	YMR176W	YMR179W	YMR190C	YMR198W	YMR199W	YMR201C	YMR216C	YMR219W	YMR223W	YMR224C	YMR227C - YMR227C	YMR234W	YMR236W - YMR236W	YMR263W	YMR272C	YMR273C	YMR275C	YMR276W	YMR284W	YMR304W	YMR312W	YNL004W	YNL021W	YNL025C	YNL030W	YNL031C	YNL068C	YNL072W	YNL082W	YNL085W	YNL097C	YNL098C	YNL107W	YNL136W	YNL139C	YNL147W	YNL151C - YNL151C	YNL153C	YNL199C	YNL201C	YNL206C	YNL215W	YNL216W - YNL216W	YNL218W	YNL222W - YNL222W	YNL224C	YNL227C - YNL227C	YNL236W - YNL236W	YNL236W - YNL236W	YNL238W	YNL246W	YNL248C	YNL250W	YNL251C - YNL251C	YNL253W	YNL273W	YNL288W	YNL290W - YNL290W	YNL294C	YNL297C	YNL297C - YNL297C	YNL298W	YNL299W	YNL307C	YNL312W - YNL312W	YNL315C	YNL323W	YNL330C	YNR003C - YNR003C	YNR010W	YNR048W	YNR051C	YOL001W	YOL004W	YOL006C	YOL012C - YOL012C	YOL012C	YOL017W	YOL043C	YOL051W - YOL051W	YOL054W	YOL067C	YOL068C	YOL072W	YOL081W	YOL090W	YOL094C - YOL094C	YOL104C	YOL108C	YOL145C	YOR001W	YOR005C	YOR014W	YOR023C	YOR024W	YOR025W	YOR026W	YOR033C	YOR038C	YOR039W	YOR043W	YOR058C	YOR061W	YOR073W	YOR089C	YOR106W	YOR123C	YOR124C	YOR141C	YOR144C	YOR172W	YOR174W - YOR174W	YOR184W	YOR189W	YOR191W	YOR195W	YOR207C - YOR207C	YOR213C	YOR217W - YOR217W	YOR265W	YOR269W	YOR297C	YOR304W	YOR308C	YOR330C	YOR338W	YOR339C	YOR340C - YOR340C	YOR341W - YOR341W	YOR346W	YOR349W	YOR351C	YOR368W	YOR386W	YPL001W	YPL008W	YPL015C	YPL018W	YPL022W	YPL024W	YPL033C	YPL042C	YPL046C	YPL047W	YPL055C	YPL057C	YPL086C	YPL101W	YPL113C - YPL113C	YPL116W	YPL121C	YPL122C - YPL122C	YPL127C	YPL128C - YPL128C	YPL129W - YPL129W	YPL138C	YPL139C	YPL150W	YPL152W	YPL153C - YPL153C	YPL155C	YPL164C	YPL165C	YPL167C	YPL180W	YPL181W	YPL194W	YPL214C	YPL226W	YPL235W - YPL235W	YPL241C	YPL248C	YPL253C	YPL254W	YPL256C	YPL269W	YPR007C	YPR018W	YPR023C	YPR031W	YPR046W	YPR052C	YPR066W	YPR068C	YPR070W	YPR075C	YPR075C - YPR075C	YPR093C	YPR110C - YPR110C	YPR119W	YPR120C	YPR133C - YPR133C	YPR135W	YPR141C	YPR161C	YPR164W	YPR186C - YPR186C	YPR187W - YPR187W	YPR189W
REP1			0.109117	0.164891	-0.262135	0.249827		0.327297	0.066587					-0.095428	-0.255091			-0.301137			0.168653	0.015057		-0.053171	0.226088		-0.563452		0.260856											0.432525	-0.663742									-0.343982	-0.261578	-0.112925	0.172824		0.248743				0.119062	-0.142744			-0.561782		0.056396	0.409171	-0.866550	0.441028	-0.152134				-0.217661		0.218038	-0.091141					0.340259		0.223988	0.162285					0.262809							0.083007		-0.331660	0.079040	0.098845		0.127315	0.336758				0.004617	0.351239		-0.768058	-0.014464							-0.097361			-0.084872	-0.131458												0.235415	-0.058720	0.262908						0.091478	0.019020	-0.129922		0.182168			-0.233953							-0.477807					-0.018397		-0.267373		-0.385644		-0.335735		-0.541348	0.122977		0.042961				0.158792		0.152277			-0.016256	-0.658277	0.192856		-0.124595	0.064486	-0.333019	0.400453	-0.478660	0.270493	0.063199	0.101488		0.342743			0.167374				0.056434	-0.432993		0.321027		-0.210578				-0.132970	0.148384	-0.260217			0.098309	-0.523179		-0.027725		0.168005				-0.042454	0.226809	0.117990								0.125991		-0.566723								0.348597			0.066287		-1.069703		0.359909				-0.121050	0.306777	0.453515	0.037855				-0.131508	0.081637				0.116340		-0.515426	0.417821	-0.060393	-0.105936				-0.126796	0.136201			0.096202	-0.477484	-0.796953		-0.001598									0.233963	0.138308	0.014910							-0.448077	0.301958			-0.034821	-0.229281		0.021183		-0.161957													0.361482				0.080036				-0.159309			0.219815							0.352825											0.187742			-0.418247	0.105863			0.179447			-0.323988			0.006309			-0.769553						-0.518377	0.005821	-0.062220			0.244669			0.263513		0.438049			0.201320																	0.205493	-0.204982					-0.143260			0.208049	0.268760			0.217919								0.240372	0.345421					-0.041828		0.230648	0.239638											0.134420	0.281818			-0.067385		-0.335254		-0.410161										0.241059	0.148847	-0.153908				0.340095	-0.303383		-0.914661	-1.069116	-0.401085				-2.210277	-9.120254					-0.285871	-0.255558			-0.699989	0.246986	0.136118	-0.115709		-0.704756	-0.358448				0.316139		-0.062486	-0.149627		-0.103273	0.068390	-0.169251		0.209106	0.161849	0.048118	-0.015691	0.130331						0.383683																		-0.909385		0.097711	0.080732			-0.353164	0.011092		0.236979		-0.000915	0.057979		-0.065513	0.128889		0.056539	0.286277				0.170429	0.104554	-0.075318				0.079470	0.362718		0.412202							0.060732	-0.515020					0.323889	0.271658		0.277314	-0.011610		0.082762							0.202747		0.103928		-1.293613		-0.418187									0.070683		-0.337754							-0.047084	0.083199	-0.378493								0.042754		-0.265043	0.232975				0.279306							0.203910					0.271780	-0.636535				-0.083499	0.131016		-0.208833	0.464410	0.272344	0.001179	0.164646				0.049080		-0.451185	0.206288				-0.063737		-0.015301		-0.543857			0.116998		0.318414			0.401175				-0.341563	-0.118423	0.112512	-0.059116	-0.104694	-0.072389	0.106597		0.010757	0.179271					0.263378	0.024493						-0.120523		0.452360			0.215200	-0.211911			-0.119053		0.226828		0.449655		0.130839	0.036553				0.176928		-0.054448		-0.219232	-0.041438		-0.577520	0.109254	0.260063	0.429561									0.098553	0.114971			0.302417		0.072206			
YAL002W									-0.258557			-0.633073	-0.688192				-0.276547	0.416758		-1.194507			2.279602	0.774618	-0.045237	-3.732250	-0.763850	-0.142675	-0.661950			-4.813560	-1.330418			-0.041141				-0.112514		-1.351100						-0.575709	-1.361116	-3.500930	0.025335	-1.449398			-0.110370		-3.380474	-3.825800		-0.054559		1.118436		0.163560	-0.606797			-6.712810	-0.951147	-1.711434		-1.715714						-3.565155		-2.761833			0.349252	-1.010035	0.018620	-2.382884		0.216554		-0.172295		-0.490876	0.150723	-2.278689	0.464513	-0.700208				-3.278737			-0.161903	2.300797	0.118447	1.961965		-1.462166		0.108255	-1.803063		0.571826	-1.846549	-3.706180										-0.413981	0.323308	-1.957645		-0.393761	-0.905378		-0.383655	0.149032				-0.337983	-2.480725	0.138325	0.681828	-0.629340	0.028085	-1.220437	-4.634055			0.292347					-7.845205	0.282102							-0.804199	-6.373880		0.753481	-0.734421			-5.791755		-0.204411		-0.725461	-0.842710		3.650055				0.168018	-1.368430	-1.078738			-1.398856			2.757967	-0.521547		1.348908	0.226947	3.113066		-1.111335	-3.153736	0.372857	0.387994	-3.647938	-0.634758	3.108588	-0.229566	-3.252417		0.110825		-0.516045	-0.981385			-7.353127	0.928067	0.040892	-1.952064	-1.553096				0.395459				-0.073786	-1.553781	0.046239	0.283429	0.434661	-0.801143	0.191333			-6.756879			-2.088291			-2.950296	-5.705305	-3.100897					0.091180					-3.879149			0.479388	-2.574517	-0.671192	-4.408623	-4.463271	-0.699367	-1.728093		0.304268	0.500668	2.295326		-3.298383	-0.325586	-5.695376			-4.976271		-0.594944	-1.641046	-0.175371			3.282174	-1.860273	1.473019		-0.398797	0.549017						-0.371248	-8.232462	-0.011439		-0.007167	-0.020012	-0.734404				0.217848	-0.723141	-0.846013	-0.597034					0.060730	-1.159663			-0.267933	-0.095773			1.474135	-0.222896	-1.426539	-2.427343	1.310573	0.671735			0.625927	2.086015	-0.652813	-0.222920			-0.004788	1.523211	-0.471398				-0.802184	-1.596564	-0.927741		-3.260829		0.416053			-0.619639	-0.052801				-0.931063	-4.917906	-1.896097	0.020501	0.932605			-1.982689	0.452527	0.060729				-5.256252	-4.411899	-0.535437	-1.762109	-5.831292	-0.606449				-1.074099	0.361117		-3.619296		-0.110124			0.929810		-0.793159	0.416162		0.559108	-1.347977	-4.628702	-0.977906	-0.031546		-1.962038	0.143648		-4.892926		2.069145	0.113806	-10.064099			-0.887477		0.379678		-2.632496	-0.605971	-0.051517	-1.076874	-1.097117	0.241818	2.132038		0.338649	-0.167411					-0.516487					2.442437	0.060732	2.706572	-0.853597	-2.395843	-2.113402	-0.641602		-1.810498	-1.489116		-0.582772	-0.804692	-1.884811	-6.573210		-0.670493	-2.418245	-1.571651		-0.155128		-0.529687		-0.877117	0.081254		-0.627680			-1.083630	-0.948797	0.085721			-6.511162	0.830221		3.293447	-0.275689	-1.284289		-2.457061	-8.407235	-0.362024			0.072616		0.407124	-0.696419						0.240212	-6.420685	-7.684606				-1.138706		-1.254751	-0.576416		-4.537386	-2.937840		3.225916			-2.839121	-0.563321		0.416846		-6.793257	-0.975261	-0.500439		-0.738031					-0.232546	-2.054361	-0.885225	-0.460573		1.480991	0.371262				-1.408814	-1.133759	-1.117824	0.432035			0.334075		-0.247151	3.668011		1.479052	0.266917	-1.606085	-0.177259			3.755725	-0.992563	1.307459	-1.493635			2.900630	0.349839	0.183605		0.662791	-0.057028				-0.149607		-0.622439	-1.283091					-2.949124	0.622698	-0.348483		1.051137	-1.351578		-1.559954		-0.212218			-4.412292			0.060796	-0.985135	-0.528743		1.417293	0.930404	-7.160032	-0.796382	1.279090	-1.928729	-4.790750			-1.636428	-8.007655		-0.397373	-1.236884	-1.576579		0.190826	-0.673132	0.378254	-1.210654	-3.639445	-3.264747			0.044636	-0.540381	0.057008		-2.021355	-0.808086		-1.425666	1.533613	0.182935	-0.354590		-3.821890		-2.640705	5.556113	4.281262			1.290000			-5.284337	-5.698282			0.957883	-3.275364		-8.142295	0.155108		-7.949400	-2.022632			-2.227765	-1.107745	-1.447305	-1.007043		-1.046113	-0.862987		-0.276367	-2.668994	-1.577216	-0.063533				-0.458959			0.609763	-1.008838	-2.904428		-2.712834				-0.950495	-0.199275	-0.000822					0.124986	0.924110		0.126524					2.183539	0.158815	2.330828			-1.794477		-0.838238	-0.064469	0.552243								0.593274				-1.867982		-4.140641		-3.819023	-1.202359					0.580908				-3.540484	0.464647					-0.598683		-0.736558	-1.381965				0.101307	-0.048658	0.717258			-0.902633				-0.233233	0.165118		1.880876	1.422880	0.362067	2.240676		1.903370		-1.934636						-0.112002	-2.939330	-1.879452	-0.055852	
YAL011W	0.109117								0.673353			-0.150687	-0.020924				0.744111	0.877078		-0.353908	0.155279	0.821681		0.526008	-0.736107	-2.717128	0.805588	2.917561	-0.158379	-0.155462		0.004779	1.030605	0.348345		0.188462			-1.726451	0.269837	0.335796	0.021804	1.321767	-0.593512				-0.574794	-1.328479	-11.698308	-0.757964	-7.440028	-0.036442		0.607351	-0.151521	0.013667			-3.162717	-8.815921	0.272173	-0.029848	-0.583645	0.278274	0.039562	1.040138	3.841574	-1.293814	-0.272896	-0.164879	-1.179535	0.682863	0.075406	0.472026	-3.977385	0.319185	-1.495124	-0.526834	-1.715934	-0.638237	-2.098197	-3.849994	-1.903071	-0.105347	1.586113	0.265844		-2.371411	-8.287454	-3.912006	0.674934	-8.653593	1.602177		-6.004102	-2.944310	0.079901	0.387809	-2.109804		-1.976732	-0.294216	-1.433693	0.210222	0.650183	-0.712589	-0.381655	0.095061	-9.004476	-0.844689	-0.102211	-1.048791	0.209076	-4.748361	-10.548598	0.340584		-2.030775	0.327995	0.236932	0.034783	0.116952	-0.838269	-0.670523	0.416099	-0.851460		-0.115703	-0.507244		-0.579754	0.555623		0.108496		-0.914565	-4.153229	-0.579163	0.761885	0.397341	0.523530	-0.227586	0.371512		0.242851	-0.333639	2.840062	-1.574296	-0.276790	3.355969	-6.155902	-0.112221	-0.507170	-0.363370	0.293454	-0.478466	1.518564	0.227442	0.077786	-1.986977	-10.442422	-0.022779	-0.114510	0.497277	2.569024	-10.966190	0.419099	0.228736	-2.318228		-0.480887	-0.298080	2.934847	-0.465959	-0.391256		-6.276319	-0.391414		-0.112168		4.381815	-0.916554		-0.007118	-0.895844	-0.048429	-6.227826	-0.186400	-8.501490	0.019606	-0.715538	0.434305	-0.980055		-4.529907	0.621134	0.866659	-0.107249	2.560039	-1.954712	0.403364	1.001509		-11.003867	0.596997	-8.556826		-0.591030	0.517683	-2.779307	-1.224578	-3.904403	-4.752618	-1.161256	-0.059756	-1.127891	-0.776103	-0.519127	0.135557	-7.470544	-0.495281	0.790843	-0.534469	0.294951	0.313905	-0.287014		0.340097	-7.205888	0.209802	0.056002	0.686924		-3.588348	-0.459720	-0.179895	0.091784	-1.467325			-8.120061	-1.501097	-4.499849	1.062885	0.269450	-1.564825		0.455540	-0.148201	-0.411387	-0.335420	0.238027	-0.937545	-0.779151	-1.691692	0.599841	-8.827682	0.288298	0.325042	0.493904	-1.904939	-8.445192	-0.364323	0.010163	-4.836671	-2.505959	0.978107	-3.073225	0.431134	0.193460	-4.069820	0.626151	0.476596	-7.174332	0.402595	-0.504313	-1.134287	0.280973	-3.293732	-3.071417	-5.180710	0.199160	-0.437024	-5.099783	-3.566868	-0.142766		0.347159	0.130052	-8.370476	-0.148130	0.038195	-0.139674	-0.774569	0.295577	-6.014333	-0.540956	-10.775670	-7.707117	-2.176586	-9.391047		0.471484	-0.531818	0.341537	-0.173463	0.857259		0.215148	0.273261	0.458513		0.673709	-2.357024	0.752510		-0.211302	0.001265	-3.611993	0.726544	-0.406566	0.051462		0.348719	0.618778	-1.416836				-3.414947	-3.838841	-0.587485	0.505625	-1.402136	-0.627991	-0.083367	-0.698738	-0.356069	-0.111150	1.262233	0.097300	-0.521401	-0.052730		-2.358393	0.570254	-0.758063	0.445374	0.052800	-7.979432	-0.504237	-0.263517	-13.688618	0.785311	-1.204948		-0.915294	-6.104129	0.320833	-0.731327		-0.164552		0.360268	-0.132378		-0.090474	-4.605283	-10.917279	0.303059	0.301439	0.257014	-0.657644	-2.358525	-0.012586	-0.379651	-13.091994	0.639933	1.902472	-0.232828	-1.590051	0.235880	-3.748506	1.717851	-1.143630	-6.005084	-5.313295	2.308885	-0.006624	-10.233786	-0.576848	1.690996	0.325849	-0.324666	0.148810	-4.222962	-0.277324	0.042933	-0.224804	-0.040282	-0.349158	-2.738160	0.027608	0.983998	-0.163523	-5.787849	-3.087861	-0.862316	-0.211769	0.333805	-1.343240	-0.946475	-1.911979		-0.001728	0.059744		-1.042610	0.340549		1.321050		1.212450	-1.773301	0.405689	-0.157017			-2.024834	-0.622358	0.596383	-4.382876	-0.457734	0.615222	-7.757251	-0.946807	-0.603247	-0.247607	-0.650488	-0.657983	-1.847776	-0.932358	0.702773	-1.105588	-1.250933	-0.874931	-6.780643	-3.449614	-1.847780	0.542400	-1.284267	-0.449465	-8.512071	0.594722	-1.903627	-6.828629	-0.988046	-3.958642	-0.153414	2.856983	-1.292884	-1.945314	0.020684	0.994297			1.398921	-10.882469	-1.027531	-1.132211	0.628104	0.748996	0.249522	-0.144452	-3.216726	-10.346660	-0.307876	0.519189	-13.192211	-0.353524	0.347652	0.794539	0.696574	1.062874	0.802165	-1.703247	0.441867	-0.345292	-0.431921	0.750404	0.122661	-0.468117		-0.975141	0.185305	-8.549412	0.700936	-0.927761	-0.359843	1.204303	0.093383	0.477516	0.211376	0.329800	0.376428	0.235918	-12.066870	3.145380	0.234724	-0.535749	0.285924	0.163453		-1.600272	-10.849804	-0.208754		-0.447453	1.400844	0.432467		1.981930	1.466708	-6.597266	-1.135682	-2.512175	-0.504127	-0.289965	-8.914837	-0.060984	-0.330157	0.586237	0.054193	-0.104674		-0.563884	-1.333770	0.080195	-0.783306	-3.018795	-3.145262	0.253565	-0.009942	-2.030691	0.785625	-0.241258	0.352400	0.886809	-0.086860	-1.077969	-0.248376	-0.091663	-0.455967	0.337069	-0.408620	0.438522	2.568531		0.378613	-0.967747	-1.482421	2.042267	0.117600	-0.807943	1.289986	-6.395001	-15.788126	-3.244102	-0.262114		-0.570780	0.064096		0.608663	0.080801	-1.290078	-1.012997	0.487945	-0.576604	-0.087028	-0.165095	-0.671628	0.630565	-12.743017	-1.339429	3.171397	-8.519934	0.094430	-7.697222	0.568555	-12.646773	-3.527862	1.127462	-1.123639	0.277719	-4.189265	0.217712	-3.657503	1.169755		-0.659805	0.915945		1.068755	-1.153751	1.106835	-1.083442	1.821463	-1.050051	-0.619085	-0.339674	0.239732	2.427018	0.606459	-0.319813	0.927185	-2.875491	-0.864597		-0.073841	-9.173957	-1.633140	-8.106578	0.428339	-2.144962	1.543462	-7.521885	-0.767736		4.286134	-1.062180	1.217924		-0.404272	0.533836	-0.182668	-7.056227	-0.884930	-0.124216	-7.119102	1.246509	2.528615	-2.412933	-5.291752	0.323853	0.771423	-0.297775	-0.105112	-1.962839	-6.470531	-1.134054	-1.363187	-1.041067	-1.738100	-0.703165	0.379834		-0.016570	-0.295453	-4.813061	-1.066095	-4.629765	0.719218	0.167996	-1.384042	-0.776457	-1.935336	-4.458660	0.211331	-2.337309	-0.482847	-0.720275	0.056293	-0.503770	-0.879196	-0.080806	-7.537842		-0.551351		-1.963331	0.589818	-1.194480	-6.279733	0.467499	0.642236	0.345815	-1.039182	0.239130	0.109732	-4.435184	-1.016386	-0.659583			1.124700	1.616714	-10.487658		0.006912	-0.139991	0.879268	3.003007		-1.772060	-0.191638	0.153608	-6.076466	-1.522715	-1.760074	-1.044520			-0.171089		-0.993139	0.189741	0.223209	-10.323785	-0.085486	-4.228674		-0.452725	-5.311779	0.517829	-1.285788	-0.863323	1.160253	-0.314004	0.353667	0.275043	-3.787383	-0.917806	-0.329746	1.387218	2.742930	0.117507	-9.997710	-0.222826	0.897086		-4.978347	1.824750	-1.438469	-10.853480	0.492926	0.117237		0.449108	0.608012	-0.074969	1.164152
