sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	span2	cutoff_time	back_signal	fit	linear_fit_fraction	intercept	deadtime	data_file
PE1_WT	C3	2	5	20181106	0.015	1700	1800	600		exp	exp	0.15		0	data/20181106_GEF_FRET_assay4.txt
PE1_WT	A5	2.25	5	20180824	0.02	1700	3600	675		exp	exp	0.15		0	data/20180824_GEF_FRET_assay.txt
PE1_WT	G2	2.25	5	20180906	0.01	2100	4100	675	750	exp	exp	0.15		0	data/20180906_GEF_FRET_assay7.txt
PE1_WT	G5	2.25	5	20181106	0.015	2400	2100	675	1000	exp	exp	0.15		0	data/20181106_GEF_FRET_assay2.txt
PE1_WT	C3	2.5	5	20180824	0.015	2650	4400	750		exp	exp	0.15		0	data/20180824_GEF_FRET_assay2.txt
PE1_WT	G3	2.5	5	20180906	0.01	3100	4400	750		exp	exp	0.15		0	data/20180906_GEF_FRET_assay7.txt
PE1_WT	A3	2.5	5	20181106	0.013	2300	2800	750		exp	exp	0.15		0	data/20181106_GEF_FRET_assay3.txt
PE1_WT	G4	3	5	20180906	0.01	3000	5100	900		exp	exp	0.15		0	data/20180906_GEF_FRET_assay7.txt
PE1_WT	A3	3	5	20181003	0.01	2500	5000	900		exp	exp	0.15		0	data/20181003_GEF_FRET_assay3.txt
PE1_WT	A4	3	5	20181106	0.012	2600	3400	900		exp	exp	0.15		0	data/20181106_GEF_FRET_assay3.txt
PE1_WT	C4	3	5	20181106	0.01	3000	3300	900		exp	exp	0.15		0	data/20181106_GEF_FRET_assay4.txt
PE1_WT	A6	3.25	5	20180824	0.01	2600	5659.5	975	1250	exp	exp	0.15		0	data/20180824_GEF_FRET_assay.txt
PE1_WT	G6	3.25	5	20181106	0.009	3200	3400	975	1200	exp	exp	0.15		0	data/20181106_GEF_FRET_assay2.txt
PE1_WT	G5	3.5	5	20180906	0.01	3200	6000	1050		exp	exp	0.15		0	data/20180906_GEF_FRET_assay7.txt
PE1_WT	C5	3.5	5	20181106	0.009	3200	3600	1050		exp	exp	0.15		0	data/20181106_GEF_FRET_assay4.txt
PE1_WT	C5	3.75	5	20180824	0.01	3850	7000	1125		exp	exp	0.15		0	data/20180824_GEF_FRET_assay2.txt
PE1_WT	A5	3.75	5	20181106	0.009	3200	3200	1125		exp	exp	0.15		0	data/20181106_GEF_FRET_assay3.txt
PE1_WT	C6	4	5	20180824	0.01	4200	7546	1200		exp	exp	0.15		0	data/20180824_GEF_FRET_assay2.txt
PE1_WT	A6	4	5	20181106	0.009	3700	6200	1200	2000	exp	exp	0.15		0	data/20181106_GEF_FRET_assay3.txt
