Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YDR143C	A180T	0.109366710127877	1.03045966264344	0.106133907121913	23	0.916396376282278	0.986967360078041	NA	0.964285714285714	0.488095238095238
YDR171W	A180T	-1.42286871954762	1.70121783947642	-0.836382435294432	28	0.410021187734017	0.986967360078041	NA	0.904761904761905	0.412698412698413
YDR182W	A180T	0.346529510920283	1.70560219600042	0.203171355977897	30	0.840372879076358	0.986967360078041	NA	0.816326530612245	0.326530612244898
YDR190C	A180T	-0.197163020856234	0.603620028047516	-0.326634325726372	36	0.745835983613755	0.986967360078041	NA	0.524781341107872	0.422740524781341
YER023W	A180T	0.539199236195112	0.91674215452578	0.588168912636109	36	0.560090980767812	0.986967360078041	NA	0.756302521008403	0.638655462184874
YFL037W	A180T	-0.146703979267184	0.745045683091519	-0.196906018780547	36	0.84500855817297	0.986967360078041	NA	0.581632653061224	0.486394557823129
YGL097W	A180T	-0.731133721651379	1.31087517774926	-0.557744729674961	36	0.580470751418098	0.986967360078041	NA	0.529274004683841	0.332552693208431
YGL164C	A180T	-0.142799365359373	0.552919840957136	-0.258264136646243	35	0.797715749408057	0.986967360078041	NA	0.394957983193277	0.365546218487395
YGL171W	A180T	0.31676350218934	0.934031540317485	0.339135766316488	32	0.736723033773899	0.986967360078041	NA	0.785714285714286	0.535714285714286
YGL201C	A180T	-0.416011699825892	0.759949677870246	-0.547420062064849	11	0.595022466432843	0.986967360078041	NA	0.964285714285714	0.297619047619048
YGL234W	A180T	-0.296116444364135	0.76416658106003	-0.387502478783318	36	0.700665905168539	0.986967360078041	NA	0.667377398720682	0.637526652452026
YGR155W	A180T	0.16848788504852	0.794445158640103	0.212082461849135	36	0.833238924029318	0.986967360078041	NA	0.812244897959184	0.783673469387755
YGR163W	A180T	0.69738460711528	1.40070124431441	0.497882478470007	15	0.625786736704036	0.986967360078041	NA	0.946428571428571	0.196428571428571
YGR192C	A180T	-0.406388119865516	0.802116919257169	-0.506644492977242	36	0.615493482383836	0.986967360078041	NA	0.557142857142857	0.423809523809524
YGR204W	A180T	-0.0107028003073957	1.73014822710397	-0.00618605974894458	23	0.995117613306893	0.995117613306893	NA	0.971428571428571	0.382857142857143
YGR253C	A180T	-0.0555930537554578	1.18881102498148	-0.0467635751917121	14	0.963362190150596	0.995117613306893	NA	0.964285714285714	0.214285714285714
YGR254W	A180T	-1.02240440291534	0.965524255704336	-1.05891115306006	33	0.297329911794852	0.986967360078041	NA	0.780952380952381	0.638095238095238
YHL020C	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YHR122W	A180T	-0.484128020845668	1.71375512977946	-0.282495446655771	20	0.780466496192555	0.986967360078041	NA	0.9	0.328571428571429
YHR179W	A180T	-0.419707839188814	0.877941634780826	-0.478058930755222	36	0.635498573566811	0.986967360078041	NA	0.724137931034483	0.620689655172414
YIL003W	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YIL110W	A180T	0.716784753486336	1.38988606035981	0.515714758158503	11	0.616260380064165	0.986967360078041	NA	0.967032967032967	0.164835164835165
YJL123C	A180T	-0.74652407423628	0.647441327784506	-1.15303741389328	36	0.256493664344733	0.986967360078041	NA	0.733082706766917	0.62781954887218
YJL165C	A180T	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.982142857142857	0.0892857142857143
YJL176C	A180T	-1.72069006294863	0.828976038278058	-2.07568130258968	27	0.0475740867520207	0.71361130128031	NA	0.775510204081633	0.387755102040816
YJL196C	A180T	-1.26106266786534	1.49712786241213	-0.842321286996521	30	0.406273420466546	0.986967360078041	NA	0.714285714285714	0.285714285714286
YJR072C	A180T	-0.484295422503935	0.515073133603106	-0.940245939670991	36	0.353357982442875	0.986967360078041	NA	0.807142857142857	0.707142857142857
YJR074W	A180T	-0.0901051439451893	0.434000472282111	-0.207615313115647	36	0.83669937373422	0.986967360078041	NA	0.403571428571429	0.353571428571429
YKL029C	A180T	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.987577639751553	0.093167701863354
YKL033W	A180T	0.17754288578231	1.02834264444235	0.172649541222311	18	0.864853382656367	0.986967360078041	NA	0.952380952380952	0.333333333333333
YKL035W	A180T	-2.68225781801108	0.825399092373466	-3.24964958502455	35	0.00255463063349337	0.114958378507202	NA	0.682539682539683	0.571428571428571
YKL104C	A180T	-1.44366867091516	0.795612386287212	-1.81453770177228	36	0.0779352656950913	0.986967360078041	NA	0.820779220779221	0.72987012987013
YKL106W	A180T	0.393200415886477	0.816472504384491	0.48158439356497	24	0.634463409479987	0.986967360078041	NA	0.96	0.636190476190476
YKR025W	A180T	-1.92545788750435	0.866649416085818	-2.22172640027912	32	0.0334972397691939	0.666139649704999	NA	0.654135338345865	0.443609022556391
YKR026C	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YLL021W	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YLL034C	A180T	0.0862144361331944	0.68934017019237	0.125068057631307	36	0.901165479274958	0.986967360078041	NA	0.913348946135831	0.667447306791569
YLL040C	A180T	-0.384202114085506	0.461436378769687	-0.832622072646054	35	0.410703549097168	0.986967360078041	NA	0.93002915451895	0.766763848396501
YLR032W	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YLR048W	A180T	-0.803618704301597	0.782561596513427	-1.02690792377493	30	0.312672997556901	0.986967360078041	NA	0	0
YLR060W	A180T	-0.189275439746097	0.803391945632713	-0.235595391234639	29	0.815402516561076	0.986967360078041	NA	0.946428571428571	0.601190476190476
YLR071C	A180T	-0.517070282010481	0.942480782740956	-0.548626870148714	17	0.590394781380689	0.986967360078041	NA	0.961904761904762	0.19047619047619
YLR104W	A180T	-0.244498869412401	1.38440573540541	-0.176609257791612	17	0.861902249657853	0.986967360078041	NA	0.938775510204082	0.142857142857143
YLR106C	A180T	-0.400383454028708	0.419060128261651	-0.955431994185613	36	0.34573146241615	0.986967360078041	NA	0.927659574468085	0.825531914893617
YLR196W	A180T	-0.428990683730606	0.879001696340749	-0.488043066943418	28	0.629319428623774	0.986967360078041	NA	0.883928571428571	0.419642857142857
YLR243W	A180T	-0.0976850731002985	0.529135775674363	-0.184612490009398	36	0.854569071166881	0.986967360078041	NA	0.825396825396825	0.825396825396825
YLR249W	A180T	-0.778392977334386	0.46561876421693	-1.67173884979373	36	0.103247306366694	0.986967360078041	NA	0.706275033377837	0.622162883845127
YLR259C	A180T	-0.454501389762829	0.758030860548867	-0.599581644253558	36	0.552540351656471	0.986967360078041	NA	0.764411027568922	0.746867167919799
YLR293C	A180T	0.194893893474052	0.406415264685216	0.479543733735012	36	0.634452429336693	0.986967360078041	NA	0.479591836734694	0.396258503401361
YLR301W	A180T	-0.399067222336895	1.19055572300508	-0.33519407334384	16	0.74183321612582	0.986967360078041	NA	0.885714285714286	0.314285714285714
YLR304C	A180T	-0.453988072167418	1.49441457927816	-0.303789911087929	28	0.763534036373573	0.986967360078041	NA	0.963455149501661	0.59468438538206
YLR314C	A180T	0.659563153030735	0.941815578096397	0.700310303174054	19	0.492220686591954	0.986967360078041	NA	0.978571428571429	0.221428571428571
YLR347C	A180T	-0.977133553055241	0.563043116565004	-1.73545066853229	36	0.0912151104942791	0.986967360078041	NA	0.529175050301811	0.48692152917505
YLR397C	A180T	-0.121409509200945	0.525034229255792	-0.231241131407826	33	0.818555284006495	0.986967360078041	NA	0.953667953667954	0.694980694980695
YML041C	A180T	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.964285714285714	0.0357142857142857
YML085C	A180T	-0.024656545771903	0.817442793733152	-0.0301630229796263	36	0.976103642801512	0.995117613306893	NA	0.626373626373626	0.472527472527473
YML124C	A180T	-0.265063587225747	0.818309393920755	-0.323916099698858	36	0.747875989204964	0.986967360078041	NA	0.727891156462585	0.63265306122449
YMR039C	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YMR083W	A180T	-1.40376541098757	1.34495481278322	-1.04372682089047	25	0.306599850147085	0.986967360078041	NA	0.885714285714286	0.457142857142857
YMR157C	A180T	-0.545000602345397	1.04682232727605	-0.520623785092119	24	0.607399138856836	0.986967360078041	NA	0.828571428571429	0.4
YMR185W	A180T	-1.17522862979142	1.30394927823768	-0.90128400652192	14	0.382680720597775	0.986967360078041	NA	0.938775510204082	0.306122448979592
YMR214W	A180T	-0.551755409471357	0.765838097966058	-0.720459599668298	35	0.47602661352181	0.986967360078041	NA	0.848214285714286	0.598214285714286
YMR235C	A180T	3.41096860625841	0.925484713282798	3.68560231984742	36	0.000746218584054326	0.0671596725648893	NA	0.704500978473581	0.663405088062622
YMR308C	A180T	-0.87010552289059	0.607911384309135	-1.43130322173425	36	0.160967938226585	0.986967360078041	NA	0.339578454332553	0.2903981264637
YMR318C	A180T	1.22543090618023	2.11450310705156	0.579536110442964	23	0.56786130354471	0.986967360078041	NA	0.875	0.303571428571429
YNL007C	A180T	-0.392642268039871	0.571115103638841	-0.687501110613541	30	0.497048216005319	0.986967360078041	NA	0.912698412698413	0.428571428571429
YNL014W	A180T	-1.26131506694263	1.05462654113116	-1.19598267040557	22	0.24443501491489	0.986967360078041	NA	0.571428571428571	0
YNL032W	A180T	0.151654757802774	1.04500014017647	0.145124150679218	19	0.886141305301112	0.986967360078041	NA	0.948051948051948	0.519480519480519
YNL037C	A180T	-0.891505970476744	1.54206058159564	-0.578126424549589	31	0.567355141697087	0.986967360078041	NA	0.93984962406015	0.428571428571429
YNL099C	A180T	0.0902017730274985	0.629738533751746	0.143236864496937	10	0.888948281143128	0.986967360078041	NA	0.974025974025974	0.207792207792208
YNL134C	A180T	0.310154790380967	1.45852405834577	0.212649759602004	25	0.833324563064421	0.986967360078041	NA	0.873015873015873	0.349206349206349
YNL141W	A180T	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.961038961038961	0.38961038961039
YNL262W	A180T	1.74367465464227	1.25908123563254	1.38487859662707	17	0.183996544342224	0.986967360078041	NA	0.821428571428571	0.25
YOL038W	A180T	0.10830149536607	1.08629429590538	0.0996981165916969	34	0.921169536072838	0.986967360078041	NA	0.844155844155844	0.467532467532468
YOL098C	A180T	-0.0670372772325343	1.210262091527	-0.0553907105757173	29	0.956207056159472	0.995117613306893	NA	0.892063492063492	0.495238095238095
YOR027W	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YOR136W	A180T	-0.977843943768633	1.24319787392426	-0.786555353961463	36	0.436689561922124	0.986967360078041	NA	0.728571428571429	0.678571428571429
YOR224C	A180T	-1.13730404545852	0.522534515579281	-2.17651468285824	32	0.0370077583169444	0.666139649704999	NA	0.795918367346939	0.510204081632653
YOR230W	A180T	-1.37217140603854	1.81876049822035	-0.754454150165017	20	0.459368514305283	0.986967360078041	NA	0.942857142857143	0.285714285714286
YOR375C	A180T	-0.566746473513588	0.608889121021984	-0.930787649091738	35	0.358339520779364	0.986967360078041	NA	0.831168831168831	0.785714285714286
YPL051W	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YPL070W	A180T	0.37274972556028	0.591889662372872	0.629762182474914	12	0.540655870586567	0.986967360078041	NA	0.80952380952381	0.19047619047619
YPL235W	A180T	0.0803427923046979	0.620649906041866	0.12944945535733	36	0.897722587932061	0.986967360078041	NA	0.619047619047619	0.50140056022409
YPL239W	A180T	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.914285714285714	0.0285714285714286
YPR019W	A180T	-0.190977615834699	0.861543294199953	-0.22166920353323	25	0.826372131428105	0.986967360078041	NA	0.931972789115646	0.693877551020408
YPR103W	A180T	-0.873135066996513	0.835275775908247	-1.04532549869185	20	0.308342875903126	0.986967360078041	NA	0.922077922077922	0.337662337662338
YPR128C	A180T	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.942857142857143	0.114285714285714
YAL005C	F58A	-0.703453707395967	0.818163275461668	-0.859796239325245	36	0.395591046977159	0.715106892612557	NA	0.782608695652174	0.521739130434783
YAL036C	F58A	-1.86183406236835	0.815296072484097	-2.28362937735685	30	0.0296439522550087	0.121153543998731	NA	0.821428571428571	0.416666666666667
YBL039C	F58A	-2.41981731034148	0.773190263950466	-3.12965310501699	35	0.00352029680261223	0.0300825363132318	NA	0.73015873015873	0.641269841269841
YBL056W	F58A	-0.629331516688272	1.22116748191549	-0.515352337830941	25	0.610834190077304	0.840576159480629	NA	0.892857142857143	0.547619047619048
YBR081C	F58A	-0.0260889244902512	1.10919120388014	-0.0235206738017644	19	0.981480216740514	0.992033767458154	NA	0.714285714285714	0.0714285714285714
YBR117C	F58A	-0.434847388761984	1.11425552815581	-0.390258228722181	36	0.698645288266736	0.904765320845544	NA	0.285714285714286	0.285714285714286
YBR121C	F58A	-0.995474812173384	0.685267733253604	-1.45268011883025	36	0.154973887753193	0.428457219082356	NA	0.755102040816326	0.673469387755102
YBR231C	F58A	1.01603251790363	1.97736853573513	0.513830628707715	32	0.610900526845743	0.840576159480629	NA	0.761904761904762	0.428571428571429
YCL043C	F58A	-1.36131641445475	0.556330062024603	-2.44695821308061	36	0.019418853997311	0.0960722250393282	NA	0.758620689655172	0.689655172413793
YCL050C	F58A	-3.12508670329531	0.650526651494627	-4.80393339168384	31	3.76479658261708e-05	0.000707781757532011	NA	0.661654135338346	0.518796992481203
YCL054W	F58A	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.976190476190476	0.0714285714285714
YDL089W	F58A	-0.38252678794345	1.48458095244974	-0.25766650670833	28	0.79854862422551	0.914783395452225	NA	0.82051282051282	0.641025641025641
YDL156W	F58A	3.00043884747805	0.76804465981935	3.90659424438127	17	0.00113533708022517	0.0118579650601296	NA	0.851190476190476	0.386904761904762
YDL164C	F58A	-0.294898717486876	0.958131256088231	-0.307785301453227	29	0.760445458374761	0.914783395452225	NA	0.92436974789916	0.680672268907563
YDR002W	F58A	1.25027164750115	0.548745039231462	2.27841995483404	36	0.0287373353221807	0.121153543998731	NA	0.605590062111801	0.562111801242236
YDR037W	F58A	-1.95903771199076	0.830466815615712	-2.3589596539608	35	0.0240376529961521	0.112976969081915	NA	0.661654135338346	0.518796992481203
YDR071C	F58A	-0.72505047879204	1.02679286065474	-0.706131203843497	31	0.485380025850571	0.793259951148154	NA	0.892857142857143	0.621428571428571
YDR143C	F58A	-0.536196245650752	1.03045966264344	-0.520346661872477	23	0.607795066794238	0.840576159480629	NA	0.958333333333333	0.482142857142857
YDR171W	F58A	-0.156199093944321	1.34493079221405	-0.116139131357966	28	0.908371256360303	0.970305660203051	NA	0.896825396825397	0.531746031746032
YDR182W	F58A	1.31399108057995	1.86839359375955	0.703273167371525	30	0.487308004727723	0.793259951148154	NA	0.877551020408163	0.285714285714286
YDR190C	F58A	0.483834074361884	0.603620028047515	0.801554043736597	36	0.428070200925138	0.756921230087889	NA	0.553935860058309	0.451895043731778
YER023W	F58A	-0.619664937580427	0.916742154525779	-0.675942449598571	36	0.503396689525079	0.793259951148154	NA	0.680672268907563	0.563025210084034
YFL037W	F58A	-0.480325021085557	0.745045683091518	-0.644692039677996	36	0.523214010331761	0.793259951148154	NA	0.54421768707483	0.448979591836735
