Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YDR182W	A180T	0.500119171494938	1.7582725574718	0.284437796273209	30	0.77802908506697	0.993271906600393	NA	0.816326530612245	0.326530612244898
YDR190C	A180T	-0.138320842344318	0.432152192622172	-0.320074373578964	36	0.750762309423199	0.993271906600393	NA	0.524781341107872	0.422740524781341
YER023W	A180T	0.618335101130051	0.768922876530159	0.804157503962361	36	0.426584635054583	0.993271906600393	NA	0.756302521008403	0.638655462184874
YFL037W	A180T	-0.080138745832211	0.5650193968097	-0.141833618960168	36	0.888002207522313	0.993271906600393	NA	0.581632653061224	0.486394557823129
YGL097W	A180T	-0.616675448001299	1.10992433769968	-0.555601338807798	36	0.581920063690386	0.993271906600393	NA	0.529274004683841	0.332552693208431
YGL164C	A180T	-0.0387713581406741	0.555742648201387	-0.06976495013682	35	0.944777833339286	0.993271906600393	NA	0.394957983193277	0.365546218487395
YGL171W	A180T	0.396757663748183	0.957265761186778	0.414469711374927	32	0.681295506239687	0.993271906600393	NA	0.785714285714286	0.535714285714286
YGL201C	A180T	-0.267280339905805	0.613773144231219	-0.435470894120965	11	0.671642265715379	0.993271906600393	NA	0.964285714285714	0.297619047619048
YGL234W	A180T	-0.239187474847631	0.595838502694007	-0.401430041472942	36	0.690476613257887	0.993271906600393	NA	0.667377398720682	0.637526652452026
YGR155W	A180T	0.21835875832669	0.677403610150355	0.322346611465834	36	0.749054716314733	0.993271906600393	NA	0.812244897959184	0.783673469387755
YGR163W	A180T	0.510102851071431	0.995578296802342	0.512368392028844	15	0.615854476585278	0.993271906600393	NA	0.946428571428571	0.196428571428571
YGR192C	A180T	-0.341735717027145	0.678139333672081	-0.503931419486713	36	0.617379761268713	0.993271906600393	NA	0.557142857142857	0.423809523809524
YGR204W	A180T	0.0280385112943427	1.24562099916463	0.0225096649086252	23	0.982235552082611	0.993271906600393	NA	0.971428571428571	0.382857142857143
YGR253C	A180T	-0.0659249421601718	0.95066908670077	-0.0693458355619405	14	0.945695105882602	0.993271906600393	NA	0.964285714285714	0.214285714285714
YGR254W	A180T	-0.931022273618431	0.819067203303387	-1.13668606173403	33	0.263856646004257	0.993271906600393	NA	0.780952380952381	0.638095238095238
YHL020C	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YHR122W	A180T	-0.411588586239702	1.4092455721788	-0.292063068612913	20	0.773246487590768	0.993271906600393	NA	0.9	0.328571428571429
YHR179W	A180T	-0.385157936630689	0.888390848291159	-0.433545592428771	36	0.667205400867344	0.993271906600393	NA	0.724137931034483	0.620689655172414
YIL003W	A180T	NA	NA	NA	NA	NA	NA	completeMissing	1	0
YIL110W	A180T	0.817559132606583	1.15059748985085	0.710551813138895	11	0.492152501486817	0.993271906600393	NA	0.967032967032967	0.164835164835165
YJL123C	A180T	-0.623762397361483	0.501136223722744	-1.24469628782329	36	0.221285753759425	0.993271906600393	NA	0.733082706766917	0.62781954887218
YJL165C	A180T	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.982142857142857	0.0892857142857143
YJL176C	A180T	-1.8180070992762	0.890334606708508	-2.04193691402968	27	0.0510380266860015	0.574177800217517	NA	0.775510204081633	0.387755102040816
YJL196C	A180T	-1.15216608727245	1.38658925499943	-0.830935392812436	30	0.412574782341427	0.993271906600393	NA	0.714285714285714	0.285714285714286
YJR072C	A180T	-0.491649398120336	0.436661133756376	-1.1259289185894	36	0.267645784875822	0.993271906600393	NA	0.807142857142857	0.707142857142857
YJR074W	A180T	0.00214611294681742	0.415842344157584	0.00516088122570833	36	0.995910724243109	0.995910724243109	NA	0.403571428571429	0.353571428571429
YKL029C	A180T	Inf	NA	NA	NA	NA	0	oneConditionMissing	0.987577639751553	0.093167701863354
YKL033W	A180T	0.4362674938965	0.921233116148523	0.473569052446182	18	0.641500174906745	0.993271906600393	NA	0.952380952380952	0.333333333333333
